;code;ageing;grp;mgr;syn
1;110821-01;0;92;0.131428571;0.833992095
2;120821-01;0;100;0.137362637;0.92
3;120821-06;0;96;0.137142857;0.916666667
4;130921-04;0;96;0.047619048;0.47826087
5;130921-06;0;84;0.045454545;0.485714286
6;130921-07;0;92;0.131428571;0.833992095
7;140921-03;0;88;0.130952381;0.826839827
8;150721-01;0;100;0.142857143;1
9;230921-01;0;96;0.065934066;0.47826087
10;240821-01;0;80;0.058309038;0.531578947
11;240821-02;0;88;0.06984127;0.606060606
12;240821-04;0;100;0.142857143;1
13;240821-07;0;96;0.142857143;1
14;240821-08;0;88;0.087301587;0.432900433
15;240821-09;0;100;0.123152709;0.72
16;240821-10;0;100;0.089285714;0.44
17;240821-11;0;76;0.066202091;0.304093567
18;250821-07;0;92;0.082142857;0.596837945
19;280721-02;0;100;0.142857143;1
20;300821-03;0;96;0.045112782;0.492753623
21;300821-05;0;96;0.142857143;1
22;300821-07;0;80;0.142857143;1
23;300821-08;0;96;0.057142857;0.608695652
24;300821-10;0;92;0.055690073;0.498023715
25;300821-11;0;96;0.044526902;0.481884058
26;300821-15;0;100;0.137362637;0.92
27;300921-03;0;84;0.035714286;1
28;310821-04;0;88;0.049107143;0.480519481
29;310821-05;0;96;0.12244898;0.836956522
30;310821-08;0;88;0.071428571;0.415584416
31;310821-09;0;95.83333333;0.074675325;0.628458498
32;310821-10;0;96;0.072948328;0.532608696
33;310821-11;0;92;0.055690073;0.498023715
34;310821-13;0;76;0.035714286;1
35;110821-01;2;95.23809524;0.142857143;1
36;110821-01;10;100;0.142857143;1
37;110821-01;15;100;0.125;0.74912892
38;110821-01;30;65.85365854;0.085714286;0.47008547
39;120821-01;2;95.12195122;0.135888502;0.900134953
40;120821-01;10;61.9047619;0.088435374;0.387692308
41;120821-01;15;16.66666667;0.083333333;0.285714286
42;120821-01;30;0;NA;NA
43;120821-06;2;85;0.13877551;0.941176471
44;120821-06;10;59.52380952;0.12755102;0.78
45;120821-06;15;57.89473684;0.104761905;0.54978355
46;120821-06;30;0;NA;NA
47;130921-04;2;70.73170732;0.053113553;0.433497537
48;130921-04;10;14.63414634;0.047619048;1
49;130921-04;15;0;NA;NA
50;130921-04;30;0;NA;NA
51;130921-06;2;83.33333333;0.057471264;0.416806723
52;130921-06;10;0;NA;NA
53;130921-06;15;0;NA;NA
54;130921-06;30;0;NA;NA
55;130921-07;2;97.61904762;0.12202381;0.737804878
56;130921-07;10;85.71428571;0.142857143;1
57;130921-07;15;95.12195122;0.126623377;0.770580297
58;130921-07;30;50;0.076923077;0.742857143
59;140921-03;2;85.71428571;0.128571429;0.796825397
60;140921-03;10;83.33333333;0.131578947;0.838655462
61;140921-03;15;64.28571429;0.113445378;0.626780627
62;140921-03;30;14.63414634;0.053571429;0.266666667
63;150721-01;2;92.30769231;0.138996139;0.944444444
64;150721-01;10;87.80487805;0.135338346;0.944444444
65;150721-01;15;82.92682927;0.118466899;0.663101604
66;150721-01;30;59.52380952;0.093984962;0.43
67;230921-01;2;90.47619048;0.129251701;0.806543385
68;230921-01;10;97.56097561;0.119047619;0.696153846
69;230921-01;15;71.79487179;0.117647059;0.650793651
70;230921-01;30;4.87804878;0.071428571;1
71;240821-01;2;100;0.096774194;0.471544715
72;240821-01;10;90;0.091836735;0.438095238
73;240821-01;15;85.71428571;0.075630252;0.463492063
74;240821-01;30;35.71428571;0.047619048;0.314285714
75;240821-02;2;79.48717949;0.062374245;0.617204301
76;240821-02;10;61.53846154;0.074534161;0.699275362
77;240821-02;15;42.5;0.071428571;0.588235294
78;240821-02;30;0;NA;NA
79;240821-04;2;97.61904762;0.142857143;1
80;240821-04;10;97.61904762;0.142857143;1
81;240821-04;15;95.23809524;0.142857143;1
82;240821-04;30;42.85714286;0.088669951;0.496732026
83;240821-07;2;100;0.142857143;1
84;240821-07;10;92.85714286;0.142857143;1
85;240821-07;15;90.47619048;0.142857143;1
86;240821-07;30;75.6097561;0.142857143;1
87;240821-08;2;100;0.075;0.353077816
88;240821-08;10;0;NA;NA
89;240821-08;15;0;NA;NA
