Species ,Ki,s.e.,Slope,s.e.,p50,s.e.
Androsace villosa,2.08,0.23,-0.09,0.01,23.95,1.53
Armeria cantabrica,1.59,0.22,-0.08,0.01,20.03,2.11
Armeria duriaei,3.26,0.41,-0.08,0.01,42.48,2.71
Carex sempervirens,1.47,0.27,-0.17,0.02,8.53,0.83
Dianthus langeanus,3.46,0.43,-0.11,0.01,32.57,1.65
Festuca glacialis,3.86,0.76,-0.27,0.06,14.15,0.72
Gypsophila repens,2.96,0.34,-0.12,0.01,25.39,1.32
Jasione cavanillesii,2.94,0.33,-0.13,0.02,22.68,1.16
Luzula caespitosa,1.85,0.20,-0.04,0.01,48.27,6.01
Phyteuma hemisphaericum,1.98,0.33,-0.41,0.06,4.88,0.65
Plantago holosteum,3.50,0.44,-0.13,0.02,27.02,1.26
Silene ciliata,1.82,0.22,-0.10,0.01,17.55,1.21
