species;ageing;grp;mgr;syn
Dianthus langeanus;0;100;0.142857143;1
Armeria duriaei;0;100;0.12755102;0.78
Luzula caespitosa;0;88;0.033898305;0.29004329
Silene ciliata;0;100;0.044169611;0.356666667
Phyteuma hemisphaericum;0;100;0.060532688;0.523333333
Plantago holosteum;0;100;0.142857143;1
Carex sempervirens;0;95.23809524;0.034423408;0.210526316
Armeria cantabrica;0;100;0.083623693;0.416666667
Gypsophila repens;0;100;0.079365079;0.423333333
Jasione cavanillesii;0;100;0.142857143;1
Festuca glacialis;0;100;0.077922078;0.59057971
Androsace villosa;0;96;0.071428571;0.474637681
Dianthus langeanus;2;100;0.142857143;1
Armeria duriaei;2;100;0.118226601;0.655797101
Luzula caespitosa;2;92;0.026806527;0.158102767
Silene ciliata;2;91.66666667;0.044265594;0.264069264
Phyteuma hemisphaericum;2;84;0.057692308;0.476190476
Plantago holosteum;2;100;0.142857143;1
Carex sempervirens;2;86.95652174;0.039138943;0.3
Armeria cantabrica;2;79.16666667;0.093596059;0.473684211
Gypsophila repens;2;100;0.079365079;0.56
Jasione cavanillesii;2;100;0.142857143;1
Festuca glacialis;2;100;0.07641196;0.76284585
Androsace villosa;2;96;0.095238095;0.47826087
Dianthus langeanus;10;50;0.142857143;1
Dianthus langeanus;10;50;0.142857143;1
Armeria duriaei;10;50;0.081168831;0.62
Armeria duriaei;10;50;0.085034014;0.546666667
Luzula caespitosa;10;48;0.029304029;0.27173913
Luzula caespitosa;10;50;0.028669725;0.196666667
Silene ciliata;10;38;0.033568905;0.16374269
Silene ciliata;10;42;0.04109589;0.271428571
Phyteuma hemisphaericum;10;0;NA;NA
Phyteuma hemisphaericum;10;2.222222222;0.028571429;NA
Plantago holosteum;10;50;0.142857143;1
Plantago holosteum;10;46;0.142857143;1
Carex sempervirens;10;14.28571429;0.040816327;0.4
Carex sempervirens;10;21.42857143;0.030612245;0.138888889
Armeria cantabrica;10;80;0.066445183;0.563157895
Gypsophila repens;10;48;0.081632653;0.608695652
Gypsophila repens;10;50;0.093984962;0.48
Jasione cavanillesii;10;44.89795918;0.104761905;0.601731602
Jasione cavanillesii;10;46.93877551;0.10952381;0.557312253
Festuca glacialis;10;43.47826087;0.071428571;0.805263158
Festuca glacialis;10;43.47826087;0.058309038;0.510526316
Androsace villosa;10;47.91666667;0.06442577;0.501976285
Androsace villosa;10;45.83333333;0.076655052;0.614718615
Dianthus langeanus;15;48;0.142857143;1
Dianthus langeanus;15;48;0.142857143;1
Armeria duriaei;15;50;0.089285714;0.5
Armeria duriaei;15;48;0.083623693;0.56884058
Luzula caespitosa;15;48.97959184;0.032042724;0.344202899
Luzula caespitosa;15;44.89795918;0.032400589;0.324675325
Silene ciliata;15;28.26086957;0.029478458;0.115384615
Silene ciliata;15;28.26086957;0.033248082;0.217948718
Phyteuma hemisphaericum;15;0;NA;NA
Phyteuma hemisphaericum;15;0;NA;NA
Plantago holosteum;15;48;0.142857143;1
Plantago holosteum;15;50;0.142857143;1
Carex sempervirens;15;2.222222222;0.023809524;NA
Carex sempervirens;15;13.33333333;0.030612245;0.266666667
Armeria cantabrica;15;78.26086957;0.052478134;0.339869281
Gypsophila repens;15;47.82608696;0.071428571;0.670995671
Gypsophila repens;15;36.95652174;0.069387755;0.882352941
Jasione cavanillesii;15;47.72727273;0.103448276;0.504761905
Jasione cavanillesii;15;40.90909091;0.111801242;0.575163399
Festuca glacialis;15;15.90909091;0.05;0.333333333
Festuca glacialis;15;25;0.058201058;0.436363636
Androsace villosa;15;40.42553191;0.06959707;0.894736842
Androsace villosa;15;46.80851064;0.06043956;0.519480519
Dianthus langeanus;30;30;0.142857143;1
Dianthus langeanus;30;30;0.133928571;0.866666667
Armeria duriaei;30;37.5;0.065934066;0.784313725
Armeria duriaei;30;43.75;0.066666667;0.814285714
Luzula caespitosa;30;34.69387755;0.027914614;0.360294118
Luzula caespitosa;30;42.85714286;0.025672372;0.195238095
Silene ciliata;30;4.444444444;0.031746032;0
Silene ciliata;30;6.666666667;0.053571429;0.333333333
Phyteuma hemisphaericum;30;0;NA;NA
Phyteuma hemisphaericum;30;0;NA;NA
Plantago holosteum;30;20;0.12987013;0.8
Plantago holosteum;30;14;0.125;0.714285714
Carex sempervirens;30;0;NA;NA
Carex sempervirens;30;0;NA;NA
Armeria cantabrica;30;18.18181818;0.030075188;0
Gypsophila repens;30;12.5;0.047619048;0.2
Gypsophila repens;30;18.75;0.051428571;0.333333333
Jasione cavanillesii;30;6.12244898;0.071428571;1
Jasione cavanillesii;30;10.20408163;0.064935065;0.6
Festuca glacialis;30;0;NA;NA
Festuca glacialis;30;0;NA;NA
Androsace villosa;30;4.166666667;0.035714286;1
Androsace villosa;30;4.166666667;0.040816327;0
Dianthus langeanus;50;4;0.071428571;NA
Armeria duriaei;50;30.43478261;0.037037037;0.333333333
Luzula caespitosa;50;40;0.022421525;0.355555556
Silene ciliata;50;0;NA;NA
Phyteuma hemisphaericum;50;0;NA;NA
Plantago holosteum;50;0;NA;NA
Carex sempervirens;50;0;NA;NA
Armeria cantabrica;50;0;NA;NA
Gypsophila repens;50;0;NA;NA
Jasione cavanillesii;50;0;NA;NA
Festuca glacialis;50;0;NA;NA
Androsace villosa;50;13.04347826;0.032967033;0.333333333
