species,code,family,collection_date,community,collection_site,microhabitat_preference
Androsace villosa,310822-01,Primulaceae,31/08/2022,Temperate,Hou,Crio
Armeria cantabrica,190822-09,Plumbaginaceae,19/08/2022,Temperate,Hou,Snow
Armeria duriaei,040822-02,Plumbaginaceae,04/08/2022,Mediterranean,Penauta,Warm
Carex sempervirens,190822-08,Cyperaceae,19/08/2022,Temperate,Hou,Crio
Dianthus langeanus,040822-01,Caryophyllaceae,04/08/2022,Mediterranean,Penauta,Warm
Festuca glacialis,230822-04,Poaceae,23/08/2022,Temperate,Boches,Snow
Gypsophila repens,190822-10,Caryophyllaceae,19/08/2022,Temperate,Hou,Crio
Jasione cavanillesii,230822-02,Campanulaceae,23/08/2022,Temperate,Boches,Snow
Luzula caespitosa,040822-04,Juncaceae,04/08/2022,Mediterranean,Penauta,Cold
Phyteuma hemisphaericum,040822-09,Campanulaceae,04/08/2022,Mediterranean,Penauta,Cold
Plantago holosteum,090822-02,Plantaginaceae,09/08/2022,Mediterranean,Solana,Warm
Silene ciliata,040822-07,Caryophyllaceae,04/08/2022,Mediterranean,Penauta,Cold
