year,code,Taxon ,site,community,Ki,slope,p50,p50se,
2022,300821-03,Androsace villosa,Hoyo,Temperate,1.365,-0.0526,25.95,3.311,
2022,310821-11,Androsace villosa,Cazadores,Temperate,1.834,-0.0959,19.12,1.4,
2022,300821-08,Arenaria erinacea,Hoyo,Temperate,1.594,-0.0423,37.66,7.719,
2022,240821-01,Armeria duriaei,Rabinalto,Mediterranean,1.754,-0.0655,26.78,2.671,
2022,310821-13,Carex sempervirens,Cazadores,Temperate,1.211,-0.2069,5.85,0.704,
2022,280721-02,Cerastium ramosissimum,Rabinalto,Mediterranean,1.976,-0.1217,16.24,1.134,
2022,110821-01,Dianthus langeanus,Penauta,Mediterranean,2.142,-0.051,42.02,8.525,
2022,240821-02,Festuca summilusitana,Rabinalto,Mediterranean,1.231,-0.1054,11.67,1.147,
2022,130921-06,Gentiana verna,Hou,Temperate,1.45,-0.3787,3.83,0.616,
2022,300921-03,Gentianella campestris,Hoyo,Temperate,0.994,-0.884,1.12,0.246,
2022,300821-10,Gypsophila repens,Hoyo,Temperate,1.916,-0.0661,28.97,2.996,
2022,310821-08,Gypsophila repens,Cazadores,Temperate,1.922,-0.0911,21.1,1.533,
2022,300821-05,Helianthemum canum,Hoyo,Temperate,1.999,-0.0528,37.84,7.67,
2022,310821-05,Helianthemum canum,Cazadores,Temperate,1.936,-0.0661,29.31,3.341,
2022,310821-09,Koeleria vallesiana,Cazadores,Temperate,2.797,-0.0913,30.63,2.449,
2022,310821-10,Minuartia CF,Cazadores,Temperate,2.37,-0.112,21.17,1.319,
2022,120821-01,Minuartia recurva,Canada,Mediterranean,2.325,-0.2136,10.89,0.689,
2022,240821-07,Neoschischkinia truncatula,Rabinalto,Mediterranean,2.038,-0.0457,44.62,10.983,
2022,130921-04,Pedicularis pyrenaica,Hou,Temperate,1.237,-0.243,5.09,0.634,
2022,310821-04,Pedicularis pyrenaica,Cazadores,Temperate,1.101,-0.2378,4.63,0.637,
2022,240821-10,Phyteuma hemisphaericum,Canada,Mediterranean,3.75,-1.42,2.65,-0.177,
2022,250821-07,Phyteuma hemisphaericum,Penauta,Mediterranean,1.751,-0.4359,4.02,0.713,
2022,300821-15,Plantago alpina,Hoyo,Temperate,2.477,-0.1072,23.11,1.443,
2022,240821-04,Plantago holosteum,Rabinalto,Mediterranean,2.845,-0.0987,28.83,1.997,
2022,240821-09,Sedum anglicum,Canada,Mediterranean,2.784,-0.1492,18.67,1.105,
2022,240821-11,Sedum brevifolium,Canada,Mediterranean,1.398,-0.0956,14.63,1.265,
2022,130921-07,Silene acaulis,Hou,Temperate,1.885,-0.0591,31.87,3.902,
2022,140921-03,Silene acaulis,Boches,Temperate,1.255,-0.0687,18.26,1.803,
2022,230921-01,Silene ciliata,Penauta,Mediterranean,2.16,-0.1143,18.9,1.259,
2022,300821-11,Silene ciliata,Hoyo,Temperate,2.004,-0.0808,24.78,1.963,
2022,240821-08,Solidago virgaurea,Rabinalto,Mediterranean,2.139,-0.4301,4.97,0.617,
2022,150721-01,Spergula morisonii,Canada,Mediterranean,1.708,-0.0495,34.48,5.473,
2022,120821-06,Thymus praecox,Rabinalto,Mediterranean,1.491,-0.1108,13.45,1.157,
2022,300821-07,Thymus praecox,Hoyo,Temperate,0.928,-0.06033,15.39,1.89,
2024,120722-02,Anthyllis vulneraria,Hoyo,Temperate,2.81,-0.059,47.65,14.468,
2024,230822-01,Armeria cantabrica,Boches,Temperate,1.313,-0.0783,16.76,1.581,
2024,230822-04,Festuca glacialis,Boches,Temperate,3,-0.1923,15.6,1.036,
2024,210823-13,Iberis carnosa,Hoyo,Temperate,4.15,-0.2088,19.87,1.123,
2024,040822-08,Jasione laevis,Penauta,Mediterranean,0.545,-0.054,10.03,2.752,
2024,070823-09,Jurinea humilis,Solana,Mediterranean,1.36,-0.03633,37.44,9.37,
2024,210823-01,Minuartia verna,Hoyo,Temperate,1.838,-0.0553,33.24,4.84,
2024,010923-02,Phyteuma orbiculare,Cazadores,Temperate,3.81,-1.72,2.21,0.051,
2024,120722-01,Saxifraga conifera,Hoyo,Temperate,0.609,-0.117,5.22,1.206,
2024,310823-17,Saxifraga oppositifolia,Hou,Temperate,1.228,-0.258,4.758,1.088,output when removing day 2
2024,090822-04,Teesdalia conferta,Solana,Mediterranean,2.008,-0.247,8.12,0.62,
