community,Taxon,family,Control,Dark,WP,Constant,cold_strat_germ
Mediterranean,Agrostis tileni,Poaceae,0.71,0.4,0.22,0.88,0.01
Temperate,Androsace villosa,Primulaceae,0.13,0.64,0,0.35,0
Temperate,Anthyllis vulneraria,Fabaceae,0.1,0,0.09,0.07,0.63
Temperate,Arenaria erinacea,Caryophyllaceae,0.11,0.23,0,0.05,0.01
Temperate,Armeria cantabrica,Plumbaginaceae,0.75,0.73,0.03,0.87,0
Mediterranean,Armeria duriaei,Plumbaginaceae,0.07,0,0,0.6,0
Mediterranean,Avenella flexuosa,Poaceae,0,0,0,0,0.94
Temperate,Carex sempervirens,Cyperaceae,0.88,0.26,0.02,0.82,0
Mediterranean,Cerastium ramossissimum,Caryophyllaceae,0,0,0,0,0.2
Mediterranean,Conopodium majus,Apiaceae,0.01,0,0,0.07,0.67
Mediterranean,Dianthus langeanus,Caryophyllaceae,0.75,0.17,0.56,0.73,0.26
Temperate,Erigeron alpinus,Asteraceae,0.94,0.79,0.44,0.86,0
Temperate,Euphrasia salisburgensis,Orobanchaceae,,,,,
Temperate,Festuca glacialis,Poaceae,0.93,1,0,0.99,0
Temperate,Festuca rubra,Poaceae,0.91,0.95,0,0.96,0
Mediterranean,Festuca summilusitana,Poaceae,0.06,0,0.02,0.07,0.77
Temperate,Galium pyrenaicum,Rubiaceae,0,0,0,0.02,0
Temperate,Gentiana verna,Gentianaceae,,,,,
Temperate,Gentianella campestris,Gentianaceae,,,,,
Temperate,Gypsophila repens,Caryophyllaceae,1,0.99,0.1,0.97,0
Temperate,Helianthemum canum,Cistaceae,0.12,0,0.15,0.27,0.6
Temperate,Helianthemum urrielense,Cistaceae,0.02,0,0,0,0.05
Mediterranean,Helictochloa marginata,Poaceae,0.06,0,0,0,0.62
Temperate,Jasione cavanillesii,Campanulaceae,0,0.02,0,0.01,0
Mediterranean,Jasione laevis,Campanulaceae,0.4,0.28,0.18,0.32,0
Mediterranean,Jurinea humilis,Asteraceae,0.08,0,0.04,0.17,0.81
Temperate,Kobresia myosuroides,Cyperaceae,,,,,
Temperate,Koeleria vallesiana,Poaceae,0.31,0,0.05,0.37,0.58
Temperate,Linaria alpina,Plantaginaceae,0.11,0,0,0,0
Mediterranean,Luzula caespitosa,Juncaceae,0.01,0,0,0,0.94
Mediterranean,Minuartia recurva,Caryophyllaceae,0.56,0.58,0.12,0.67,0.03
Temperate,Minuartia verna,Caryophyllaceae,0.13,0.09,0,0.16,0
Mediterranean,Neoschischkinia truncatula,Poaceae,0.14,0,0.01,0.04,0.07
Temperate,Pedicularis pyrenaica,Orobanchaceae,0.41,0.07,0.15,0.05,0.03
Mediterranean,Phalacrocarpum oppositifolium,Asteraceae,0,0,0,0,0.98
Mediterranean,Phyteuma hemisphaericum,Campanulaceae,0.51,0.52,0.13,0.55,0
Temperate,Plantago alpina,Plantaginaceae,0.93,0.86,0.91,0.88,0.05
Mediterranean,Plantago holosteum,Plantaginaceae,0.83,0.68,0.89,0.89,0.11
Temperate,Salix breviserrata,Salicaceae,,,,,
Temperate,Saxifraga conifera,Saxifragaceae,0.07,0.01,0,0.26,0
Temperate,Saxifraga oppositifolia,Saxifragaceae,0.21,0,0,0.71,0
Temperate,Saxifraga paniculata,Saxifragaceae,0,0,0,0.05,0
Temperate,Scilla verna,Asparagaceae,0,0.02,0,0.02,0
Temperate,Sedum album,Crassulaceae,,,,,
Mediterranean,Sedum anglicum,Crassulaceae,0.7,0.17,0.14,0.77,0
Temperate,Sedum atratum,Crassulaceae,,,,,
Mediterranean,Sedum brevifolium,Crassulaceae,0.33,0.15,0,0.4,0
Mediterranean,Sempervivum arachnoideum,Crassulaceae,0.11,0,0.05,0.31,0
Temperate,Sempervivum vicentei,Crassulaceae,0.62,0.02,0.5,0.41,0
Temperate,Silene acaulis,Caryophyllaceae,0.81,0.68,0.02,0.83,0.05
Mediterranean,Silene ciliata,Caryophyllaceae,0.93,0.91,0.29,0.88,0.01
Mediterranean,Solidago virgaurea,Asteraceae,0,0,0,0,0.01
Mediterranean,Spergula morisonii,Caryophyllaceae,0.02,0,0,0.07,0
Mediterranean,Teesdalia conferta,Brassicaceae,0,0,0,0,1
Mediterranean,Thymus praecox,Lamiaceae,0.43,0.43,0.15,0.57,0
Temperate,Thymus praecox,Lamiaceae,0.16,0.29,0,0.41,0
Temperate,Veronica nummularia,Plantaginaceae,,,,,
