Taxon,community,family,mean_T50,F_T50,S_T50
Agrostis tileni,Mediterranean,Poaceae,263.6,225.5,301.7
Armeria duriaei,Mediterranean,Plumbaginaceae,11.3,7.3,15.2
Cerastium ramosissimum,Mediterranean,Caryophyllaceae,48.4,48.8,48
Conopodium majus,Mediterranean,Apiaceae,223.3,207.6,239
Dianthus langeanus,Mediterranean,Caryophyllaceae,4.5,3.7,5.4
Festuca summilusitana,Mediterranean,Poaceae,20.8,18.4,23.1
Helictochloa marginata,Mediterranean,Poaceae,154.2,142.8,165.7
Jurinea humilis,Mediterranean,Asteraceae,128.1,9.7,246.5
Luzula caespitosa,Mediterranean,Juncaceae,174,102.4,245.5
Minuartia recurva,Mediterranean,Caryophyllaceae,10,6,14
Neoschischkinia truncatula,Mediterranean,Poaceae,7.8,6.8,8.8
Phalacrocarpum oppositifolium,Mediterranean,Asteraceae,61.2,40.3,82.1
Phyteuma hemisphaericum,Mediterranean,Campanulaceae,284.5,,284.5
Plantago holosteum,Mediterranean,Plantaginaceae,8.2,8.1,8.4
Sedum anglicum,Mediterranean,Crassulaceae,124.9,83.7,166.2
Sedum brevifolium,Mediterranean,Crassulaceae,80,75,84.9
Sempervivum arachnoideum,Mediterranean,Crassulaceae,236.3,212.8,259.8
Silene ciliata,Mediterranean,Caryophyllaceae,219.8,198.9,240.8
Solidago virgaurea,Mediterranean,Asteraceae,125.1,14.9,235.3
Spergula morisonii,Mediterranean,Caryophyllaceae,102,167.8,36.2
Thymus praecox,Mediterranean,Lamiaceae,48.6,13.8,83.4
Androsace villosa,Temperate,Primulaceae,,,
Anthyllis vulneraria,Temperate,Fabaceae,,,
Arenaria erinacea,Temperate,Caryophyllaceae,,,
Arenaria moehringioides,Temperate,Caryophyllaceae,283,272,294
Armeria cantabrica,Temperate,Plumbaginaceae,258.1,238.2,278
Carex sempervirens,Temperate,Cyperaceae,263.9,244.9,282.9
Dethawia splendens,Temperate,Apiaceae,221.7,212.9,230.4
Erigeron alpinus,Temperate,Asteraceae,240.7,219.8,261.6
Euphrasia salisburgensis,Temperate,Orobanchaceae,,,
Festuca hystrix,Temperate,Poaceae,69,15.1,122.8
Festuca rubra,Temperate,Poaceae,239.5,239.5,
Gentiana verna,Temperate,Gentianaceae,,,
Gentianella campestris,Temperate,Gentianaceae,,,
Gypsophila repens,Temperate,Caryophyllaceae,256,230.3,281.8
Helianthemum canum,Temperate,Cistaceae,279,279,
Helianthemum urrielense,Temperate,Cistaceae,14,13.3,14.8
Helictotrichon sedenense,Temperate,Poaceae,230.6,229.6,231.6
Iberis carnosa,Temperate,Brassicaceae,160.6,9.6,311.7
Jasione cavanillesii,Temperate,Campanulaceae,249.3,226.3,272.3
Jurinea humilis,Temperate,Asteraceae,175,119.6,230.5
Kobresia myosuroides,Temperate,Cyperaceae,,,
Koeleria vallesiana,Temperate,Poaceae,21.1,12.1,30
Minuartia CF,Temperate,Caryophyllaceae,227,227,
Minuartia verna,Temperate,Caryophyllaceae,,,
Pedicularis pyrenaica,Temperate,Orobanchaceae,226.6,203.7,249.5
Phyteuma orbiculare,Temperate,Campanulaceae,,,
Plantago alpina,Temperate,Plantaginaceae,205.3,176,234.5
Ranunculus carinthiacus,Temperate,Ranunculaceae,,,
Salix breviserrata,Temperate,Salicaceae,,,
Saxifraga conifera,Temperate,Saxifragaceae,195.1,62.5,327.6
Saxifraga paniculata,Temperate,Saxifragaceae,252.8,222,283.5
Scilla verna,Temperate,Asparagaceae,,,
Sedum album,Temperate,Crassulaceae,,,
Sesleria caerulea,Temperate,Poaceae,110.3,25.1,195.4
Silene acaulis,Temperate,Caryophyllaceae,296,303.9,288
Silene ciliata,Temperate,Caryophyllaceae,233.3,210.9,255.8
Thymus praecox,Temperate,Lamiaceae,198.4,121.8,275
