year,code,Taxon ,site,community,p50,p50se,Ki,SEKi,tKi,slope,Seslope,tslope,lower95,upper95
2022,300821-03,Androsace villosa,Hoyo,Temperate,25.95,3.311,1.365,0.178,7.67,-0.0526,0.00975,-5.39,21.37,33.93
2022,310821-11,Androsace villosa,Cazadores,Temperate,19.12,1.4,1.834,0.21,8.75,-0.0959,0.012,-8,16.73,22.09
2024,120722-02,Anthyllis vulneraria,Hoyo,Temperate,47.65,14.468,2.81,,,-0.059,,,,
2022,300821-08,Arenaria erinacea,Hoyo,Temperate,37.66,7.719,1.594,0.2,7.98,-0.0423,0.0103,-4.09,29.36,58.9
2024,230822-01,Armeria cantabrica,Boches,Temperate,16.76,1.581,1.313,,,-0.0783,,,,
2022,240821-01,Armeria duriaei,Rabinalto,Mediterranean,26.78,2.671,1.754,0.208,8.43,-0.0655,0.0106,-6.17,22.84,33.04
2022,310821-13,Carex sempervirens,Cazadores,Temperate,5.85,0.704,1.211,0.208,5.83,-0.2069,0.0265,-7.82,4.51,7.19
2022,280721-02,Cerastium ramosissimum,Rabinalto,Mediterranean,16.24,1.134,1.976,0.23,8.58,-0.1217,0.015,-8.14,14.27,18.6
2022,110821-01,Dianthus langeanus,Penauta,Mediterranean,42.02,8.525,2.142,0.274,7.82,-0.051,0.0128,-3.99,33.13,65.84
2024,230822-04,Festuca glacialis,Boches,Temperate,15.6,1.036,3,,,-0.1923,,,,
2022,240821-02,Festuca summilusitana,Rabinalto,Mediterranean,11.67,1.147,1.231,0.182,6.77,-0.1054,0.014,-7.53,9.6,13.95
2022,130921-06,Gentiana verna,Hou,Temperate,3.83,0.616,1.45,0.235,6.18,-0.3787,0.068,-5.57,2.9,5.2
2022,300921-03,Gentianella campestris,Hoyo,Temperate,1.12,0.246,0.994,0.301,3.3,-0.884,0.186,-4.75,0.65,1.53
2022,300821-10,Gypsophila repens,Hoyo,Temperate,28.97,2.996,1.916,0.238,8.05,-0.0661,0.0114,-5.81,24.68,36.09
2022,310821-08,Gypsophila repens,Cazadores,Temperate,21.1,1.533,1.922,0.217,8.84,-0.0911,0.0117,-7.81,18.52,24.38
2022,300821-05,Helianthemum canum,Hoyo,Temperate,37.84,7.67,1.999,0.252,7.93,-0.0528,0.013,-4.07,29.64,59.02
2022,310821-05,Helianthemum canum,Cazadores,Temperate,29.31,3.341,1.936,0.233,8.3,-0.0661,0.0117,-5.63,24.67,37.42
2024,210823-13,Iberis carnosa,Hoyo,Temperate,19.87,1.123,4.15,,,-0.2088,,,,
2023,230822-02,Jasione cavanillesii,Boches,Temperate,22.68,1.16,2.94,0.33,,-0.13,0.02,,,
2024,040822-08,Jasione laevis,Penauta,Mediterranean,10.03,2.752,0.545,,,-0.054,,,,
2024,070823-09,Jurinea humilis,Solana,Mediterranean,37.44,9.37,1.36,,,-0.03633,,,,
2022,310821-09,Koeleria vallesiana,Cazadores,Temperate,30.63,2.449,2.797,0.376,7.43,-0.0913,0.0157,-5.83,27.06,36.36
2023,040822-04,Luzula caespitosa,Penauta,Mediterranean,48.27,6.01,1.85,0.2,,-0.04,0.01,,,
2022,310821-10,Minuartia CF,Cazadores,Temperate,21.17,1.319,2.37,0.264,8.96,-0.112,0.0136,-8.22,18.9,23.94
2022,120821-01,Minuartia recurva,Canada,Mediterranean,10.89,0.689,2.325,0.35,6.65,-0.2136,0.0305,-7.01,9.62,12.21
2024,210823-01,Minuartia verna,Hoyo,Temperate,33.24,4.84,1.838,,,-0.0553,,,,
2022,240821-07,Neoschischkinia truncatula,Rabinalto,Mediterranean,44.62,10.983,2.038,0.261,7.82,-0.0457,0.0124,-3.67,34.18,76.35
2022,130921-04,Pedicularis pyrenaica,Hou,Temperate,5.09,0.634,1.237,0.208,5.94,-0.243,0.0309,-7.88,3.9,6.31
2022,310821-04,Pedicularis pyrenaica,Cazadores,Temperate,4.63,0.637,1.101,0.199,5.54,-0.2378,0.0311,-7.65,3.43,5.85
2022,240821-10,Phyteuma hemisphaericum,Canada,Mediterranean,2.65,-0.177,3.75,3.4,1.1,-1.42,1.7,-0.83,2.15,1.54
2022,250821-07,Phyteuma hemisphaericum,Penauta,Mediterranean,4.02,0.713,1.751,0.275,6.36,-0.4359,0.0899,-4.85,3.05,5.71
2024,010923-02,Phyteuma orbiculare,Cazadores,Temperate,2.21,0.051,3.81,,,-1.72,,,,
2022,300821-15,Plantago alpina,Hoyo,Temperate,23.11,1.443,2.477,0.283,8.76,-0.1072,0.0136,-7.88,20.66,26.17
2022,240821-04,Plantago holosteum,Rabinalto,Mediterranean,28.83,1.997,2.845,0.367,7.76,-0.0987,0.0154,-6.4,25.75,33.34
2024,120722-01,Saxifraga conifera,Hoyo,Temperate,5.22,1.206,0.609,,,-0.117,,,,
2024,310823-17,Saxifraga oppositifolia,Hou,Temperate,4.758,1.088,1.228,,,-0.258,,,,
2022,240821-09,Sedum anglicum,Canada,Mediterranean,18.67,1.105,2.784,0.324,8.59,-0.1492,0.0189,-7.89,16.77,20.99
2022,240821-11,Sedum brevifolium,Canada,Mediterranean,14.63,1.265,1.398,0.181,7.73,-0.0956,0.0122,-7.86,12.4,17.21
2022,130921-07,Silene acaulis,Hou,Temperate,31.87,3.902,1.885,0.226,8.36,-0.0591,0.0111,-5.35,26.66,41.59
2022,140921-03,Silene acaulis,Boches,Temperate,18.26,1.803,1.255,0.169,7.42,-0.0687,0.0101,-6.79,15.3,22.13
2022,230921-01,Silene ciliata,Penauta,Mediterranean,18.9,1.259,2.16,0.243,8.87,-0.1143,0.0138,-8.27,16.71,21.53
2022,300821-11,Silene ciliata,Hoyo,Temperate,24.78,1.963,2.004,0.229,8.74,-0.0808,0.0115,-7.06,21.67,29.17
2022,240821-08,Solidago virgaurea,Rabinalto,Mediterranean,4.97,0.617,2.139,0.306,6.99,-0.4301,0.0647,-6.65,3.96,6.29
2022,150721-01,Spergula morisonii,Canada,Mediterranean,34.48,5.473,1.708,0.212,8.04,-0.0495,0.0107,-4.64,27.88,48.81
2024,090822-04,Teesdalia conferta,Solana,Mediterranean,8.12,0.62,2.008,,,-0.247,,,,
2022,120821-06,Thymus praecox,Rabinalto,Mediterranean,13.45,1.157,1.491,0.196,7.62,-0.1108,0.0145,-7.65,11.43,15.83
2022,300821-07,Thymus praecox,Hoyo,Temperate,15.39,1.89,0.928,0.159,5.84,-0.06033,0.00985,-6.13,12.18,19.22
