Taxon,species ,family,community,code ,year_analisis,units,C12.0 ,C14.0 ,C15.0 ,C16.0 ,C16.1n7,C17.0 ,C18.0 ,C18.1n7c ,C18.1n9c ,C18.2n6c ,C18.3n3  ,C18.3n6,C18.4n3,C20.0 ,C20.1n9,C20.2n6,C22.0 ,C22.1n9 ,C22.2n6,C24.0 
Androsace villosa,Andrvill,Primulaceae,Temperate,310821-11,2022,mg,0.24,0.24,0,3.4,0.14,0.15,1,0.23,15.01,19.05,8.76,0,0,0.19,0.14,0.01,0.17,0,0,0.1
Anthyllis vulneraria,Anthvuln,Fabaceae,Temperate,310821-12,2023,mg,0,0.08,0,8.23,0,0.11,2.1,0.55,14.36,29.72,7.8,0,0,0.41,0.26,0,0.4,0,0,0.26
Arenaria erinacea,Arenerin,Caryophyllaceae,Temperate,300821-08,2023,mg,0,0,0,2.42,0.05,0,0.41,0.22,6.42,9.12,0.25,3.43,0,0.07,0.11,0,0.05,0,0,0.1
Armeria cantabrica,Armecant,Plumbaginaceae,Temperate,230822-01,2023,mg,0,0.11,0,4.81,0,0,0.28,0.33,5.4,7.84,10.03,0,0,0.11,0.21,0.07,0.16,0.11,0,0.13
Armeria duriaei,Armeduri,Plumbaginaceae,Mediterranean,250821-01,2022,mg,0,0.09,0,6.3,0.04,0.07,0.38,0.45,7.77,12.57,14.84,0,0,0.2,0.25,0.04,0.17,0,0,0.11
Carex sempervirens,Caresemp,Cyperaceae,Temperate,310821-13,2022,mg,0,0.12,0,9.82,0.08,0.05,4.46,0.87,29.3,102.3,0.52,1.55,0.27,0.05,0.42,0.23,0,0,0,0
Conopodium majus,Conomaju,Apiaceae,Mediterranean,240821-03,2023,mg,0,0.08,0,2.74,0.06,0,0.34,0.2,23.59,6.76,0.37,0,0,0.25,0,0,0.23,0,0,0.2
Dianthus langeanus,Dianlang,Caryophyllaceae,Mediterranean,110821-01,2023,mg,0,0.05,0,4.66,0.06,0.07,1.08,0.47,14.88,19.21,1.87,0.61,0.1,0.18,0.19,0,0.1,0,0,0.09
Festuca glacialis,Festglac,Poaceae,Temperate,230822-04,2023,mg,0.07,0.09,0,2.18,0,0,0.22,0.17,2.23,6.72,1.41,0,0,0.36,0.11,0,0.07,0,0,0
Festuca summilusitana,Festsumm,Poaceae,Mediterranean,250821-02,2022,mg,0.05,0.14,0,2.18,0.15,0,0.25,0.35,3.08,7.34,0.89,0,0,0.16,0.09,0,0.05,0,0,0.07
Gypsophila repens,Gypsrepe,Caryophyllaceae,Temperate,310821-08,2023,mg,0,0.05,0,2.68,0,0,0.54,0.31,11.05,19.19,0.74,0.4,0.09,0.14,0.33,0.05,0.11,0,0,0.19
Helianthemum canum,Helicanu,Cistaceae,Temperate,300821-05,2023,mg,0,0.1,0,8.97,0,0.11,1.06,0.32,4.59,29.77,6.75,0,0,0.16,0.07,0,0.13,0,0,0.07
Helianthemum urrielense,Heliurri,Cistaceae,Temperate,130921-05,2023,mg,0,0.08,0,6.63,0,0.07,1.07,0.25,2.58,16.4,7.02,0,0,0.16,0.04,0,0.11,0,0,0.08
Helictochloa marginata,Helimarg,Poaceae,Mediterranean,040822-10,2023,mg,0,0.07,0,7.72,0.08,0.09,2.23,0.73,37.99,40.41,1.36,0,0,0.21,0.64,0,0.09,0,0,0.09
Jurinea humilis,Jurihumi.1,Asteraceae,Mediterranean,120821-03,2023,mg,0,0.23,0,6.5,0.07,0.05,3.31,0.54,25.79,40.69,0.16,0,0,0.52,4.31,0,0.15,0,0,0.21
Kobresia myosuroides,Kobrmyos,Cyperaceae,Temperate,130921-03,2023,mg,0,0.05,0,4.07,0.06,0,1.05,0.45,8.09,45.57,0.63,0,0,0.28,0.27,0.13,0.3,0,0,0.29
