"","community","species","family","Taxon","code","year_analisis","oil_type","oil_type_mg","oil_type_PER","PERoil"
"1","Mediterranean","Armeduri","Plumbaginaceae","Armeria duriaei","250821-01",2022,"C12.0",0,0,4.328
"2","Mediterranean","Armeduri","Plumbaginaceae","Armeria duriaei","250821-01",2022,"C14.0",0.09,0.21,4.328
"3","Mediterranean","Armeduri","Plumbaginaceae","Armeria duriaei","250821-01",2022,"C15.0",0,0,4.328
"4","Mediterranean","Armeduri","Plumbaginaceae","Armeria duriaei","250821-01",2022,"C16.0",6.3,14.56,4.328
"5","Mediterranean","Armeduri","Plumbaginaceae","Armeria duriaei","250821-01",2022,"C16.1n7",0.04,0.09,4.328
"6","Mediterranean","Armeduri","Plumbaginaceae","Armeria duriaei","250821-01",2022,"C17.0",0.07,0.17,4.328
"7","Mediterranean","Armeduri","Plumbaginaceae","Armeria duriaei","250821-01",2022,"C18.0",0.38,0.88,4.328
"8","Mediterranean","Armeduri","Plumbaginaceae","Armeria duriaei","250821-01",2022,"C18.1n7c",0.45,1.03,4.328
"9","Mediterranean","Armeduri","Plumbaginaceae","Armeria duriaei","250821-01",2022,"C18.1n9c",7.77,17.94,4.328
"10","Mediterranean","Armeduri","Plumbaginaceae","Armeria duriaei","250821-01",2022,"C18.2n6c",12.57,29.03,4.328
"11","Mediterranean","Armeduri","Plumbaginaceae","Armeria duriaei","250821-01",2022,"C18.3n3",14.84,34.29,4.328
"12","Mediterranean","Armeduri","Plumbaginaceae","Armeria duriaei","250821-01",2022,"C18.3n6",0,0,4.328
"13","Mediterranean","Armeduri","Plumbaginaceae","Armeria duriaei","250821-01",2022,"C18.4n3",0,0,4.328
"14","Mediterranean","Armeduri","Plumbaginaceae","Armeria duriaei","250821-01",2022,"C20.0",0.2,0.46,4.328
"15","Mediterranean","Armeduri","Plumbaginaceae","Armeria duriaei","250821-01",2022,"C20.1n9",0.25,0.57,4.328
"16","Mediterranean","Armeduri","Plumbaginaceae","Armeria duriaei","250821-01",2022,"C20.2n6",0.04,0.1,4.328
