ID.JUICE,Taxon_full,Taxon,family,Freq,Alpine,ecology,seed.oil,mean.value,Source
1,Achillea millefolium,Achillea millefolium,Asteraceae,7,Generalist,Generalist,sp.level,27.03,SID
2,Aethionema thomasianum,Aethionema thomasianum,,1,Casual,Generalist,gen.level,18.4,
3,Agrostis canina,Agrostis canina,Poaceae,5,Generalist,Generalist,,,
4,Agrostis capillaris,Agrostis capillaris,Poaceae,29,Generalist,Generalist,,,
5,Agrostis castellana,Agrostis castellana,Poaceae,32,Generalist,Generalist,,,
6,Agrostis curtisii,Agrostis curtisii,Poaceae,1,Casual,Generalist,,,
7,Agrostis rupestris,Agrostis rupestris,Poaceae,27,Specialist.4.3,Specialist,,,
8,Agrostis schleicheri,Agrostis schleicheri,Poaceae,36,Generalist,Generalist,,,
9,Agrostis tileni,Agrostis tileni,Poaceae,73,Specialist.4.3,Specialist,,,
10,Ajuga pyramidalis,Ajuga pyramidalis,Lamiaceae,3,Generalist,Generalist,gen.level,16.8,
11,Alchemilla alpigena,Alchemilla alpigena,Rosaceae,9,Specialist.4.4,Specialist,,,
12,Alchemilla alpina,Alchemilla alpina,Rosaceae,53,Generalist,Generalist,,,
13,Alchemilla catalaunica,Alchemilla catalaunica,Rosaceae,72,Generalist,Generalist,,,
14,Alchemilla fulgida,Alchemilla fulgida,Rosaceae,1,Casual,Generalist,,,
15,Alchemilla glabra,Alchemilla glabra,Rosaceae,1,Casual,Generalist,,,
16,Alchemilla hoppeana,Alchemilla hoppeana,Rosaceae,13,Generalist,Generalist,,,
17,Alchemilla hoppeaniformis,Alchemilla hoppeaniformis,Rosaceae,3,Generalist,Generalist,,,
18,Alchemilla saxatilis,Alchemilla saxatilis,Rosaceae,2,Specialist.4.3,Specialist,,,
19,Alchemilla transiens,Alchemilla transiens,Rosaceae,20,Generalist,Generalist,,,
20,Allium lusitanicum,Allium lusitanicum,Amaryllidaceae,4,Generalist,Generalist,gen.level,15.025,
21,Allium palentinum,Allium palentinum,Amaryllidaceae,1,Casual,Generalist,gen.level,15.025,
22,Allium schoenoprasum,Allium schoenoprasum,Amaryllidaceae,6,Generalist,Generalist,gen.level,15.025,
23,Allium sphaerocephalon,Allium sphaerocephalon,Amaryllidaceae,2,Casual,Generalist,sp.level,8.7,Fadb
24,Alyssum montanum,Alyssum montanum,Brassicaceae,2,Casual,Generalist,sp.level,11,Fadb
25,Amelanchier ovalis,Amelanchier ovalis,Rosaceae,1,Casual,Generalist,sp.level,7.8,SID
26,Androsace cantabrica,Androsace cantabrica,Primulaceae,3,Specialist.4.3,Specialist,gen.level,7.3,
27,Androsace lactea,Androsace lactea,Primulaceae,3,Generalist,Generalist,gen.level,7.3,
28,Androsace villosa,Androsace villosa,Primulaceae,109,Specialist.4.4,Specialist,sp.level,4.883,Own data
29,Androsace vitaliana subsp. flosjugorum,Androsace vitaliana subsp,Primulaceae,1,Casual,Generalist,gen.level,7.3,
30,Anemone pavoniana,Anemone pavoniana,,66,Generalist,Generalist,gen.level,22.815,
31,Angelica pyrenaea,Angelica pyrenaea,,4,Generalist,Generalist,gen.level,10.19,
32,Antennaria dioica,Antennaria dioica,Asteraceae,29,Specialist.4.3,Specialist,,,
33,Anthemis cretica subsp. carpatica,Anthemis cretica,Asteraceae,4,Generalist,Generalist,gen.level,24.89714286,
34,Anthoxanthum odoratum,Anthoxanthum odoratum,,30,Generalist,Generalist,,,
35,Anthyllis vulneraria,Anthyllis vulneraria,Fabaceae,246,Generalist,Generalist,sp.level,6.428,Own data
36,Aquilegia discolor,Aquilegia discolor,Ranunculaceae,2,Casual,Generalist,gen.level,28.25555556,
37,Aquilegia vulgaris,Aquilegia vulgaris,Ranunculaceae,1,Casual,Generalist,sp.level,26.9,SID
38,Arabis alpina,Arabis alpina,Brassicaceae,15,Generalist,Generalist,sp.level,31.9,SID
39,Arabis ciliata,Arabis ciliata,Brassicaceae,8,Generalist,Generalist,gen.level,28.8375,
40,Arabis scabra,Arabis scabra,Brassicaceae,2,Generalist,Generalist,gen.level,28.8375,
41,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,Ericaceae,4,Generalist,Generalist,sp.level,50,SID
42,Arenaria erinacea,Arenaria erinacea,Caryophyllaceae,27,Generalist,Generalist,sp.level,2.265,Own data
43,Arenaria grandiflora,Arenaria grandiflora,Caryophyllaceae,108,Generalist,Generalist,,,
44,Arenaria leptoclados,Arenaria leptoclados,Caryophyllaceae,1,Casual,Generalist,,,
45,Arenaria moehringioides,Arenaria moehringioides,Caryophyllaceae,58,Specialist.4.4,Specialist,,,
46,Arenaria montana,Arenaria montana,Caryophyllaceae,6,Generalist,Generalist,,,
47,Arenaria purpurascens,Arenaria purpurascens,Caryophyllaceae,164,Specialist.4.4,Specialist,,,
48,Arenaria serpyllifolia,Arenaria serpyllifolia,Caryophyllaceae,6,Generalist,Generalist,,,
49,Armeria alliacea,Armeria alliacea,Plumbaginaceae,1,Generalist,Generalist,gen.level,7,
51,Armeria cantabrica,Armeria cantabrica,Plumbaginaceae,255,Specialist.4.4,Specialist,sp.level,2.959,Own data
52,Armeria ciliata,Armeria ciliata,Plumbaginaceae,3,Generalist,Generalist,gen.level,7,
53,Armeria duriaei,Armeria duriaei,Plumbaginaceae,31,Specialist.4.3,Specialist,sp.level,4.328,Own data
54,Armeria langei,Armeria langei,Plumbaginaceae,4,Generalist,Generalist,gen.level,7,
55,Armeria transmontana,Armeria transmontana,Plumbaginaceae,1,Casual,Generalist,gen.level,7,
56,Arnica montana,Arnica montana,Asteraceae,1,Casual,Generalist,sp.level,0.2,Fadb
57,Arrhenatherum elatius,Arrhenatherum elatius,Poaceae,1,Casual,Generalist,sp.level,7.13,SID
58,Asperula aristata subsp. scabra,Asperula aristata,Rubiaceae,3,Generalist,Generalist,,,
59,Asperula hirta,Asperula hirta,Rubiaceae,2,Casual,Generalist,,,
60,Asphodelus albus,Asphodelus albus,Xanthorrhoaceae,6,Generalist,Generalist,gen.level,20.1,
61,Asplenium trichomanes,Asplenium trichomanes,Aspleniaceae,9,Generalist,Generalist,,,
62,Asplenium viride,Asplenium viride,Aspleniaceae,18,Generalist,Generalist,,,
63,Aster alpinus,Aster alpinus,Asteraceae,26,Generalist,Generalist,sp.level,22.7,SID
64,Astragalus danicus,Astragalus danicus,Fabaceae,2,Generalist,Generalist,gen.level,5.951666667,
65,Astragalus depressus,Astragalus depressus,Fabaceae,11,Generalist,Generalist,gen.level,5.951666667,
66,Astragalus incanus subsp. nummularioides,Astragalus incanus,Fabaceae,1,Casual,Generalist,gen.level,5.951666667,
67,Astragalus monspessulanus,Astragalus monspessulanus,Fabaceae,1,Casual,Generalist,gen.level,5.951666667,
68,Avenella flexuosa subsp. iberica,Avenella flexuosa,Poaceae,253,Generalist,Generalist,,,
69,Bellardiochloa variegata,Bellardiochloa variegata,,9,Specialist.4.3,Specialist,,,
70,Bellis perennis,Bellis perennis,,6,Generalist,Generalist,,,
71,Berberis vulgaris,Berberis vulgaris,Berberidaceae,3,Generalist,Generalist,sp.level,15,SID
72,Biscutella laevigata,Biscutella laevigata,Brassicaceae,36,Generalist,Generalist,gen.level,33.9,
73,Biscutella valentina,Biscutella valentina,Brassicaceae,8,Generalist,Generalist,gen.level,33.9,
74,Bistorta vivipara,Bistorta vivipara,,32,Specialist.4.4,Specialist,,,
75,Botrychium lunaria,Botrychium lunaria,Ophioglossaceae,22,Specialist.4.4,Specialist,,,
76,Brachypodium rupestre,Brachypodium rupestre,,2,Generalist,Generalist,gen.level,2,
77,Briza media,Briza media,Poaceae,1,Casual,Generalist,gen.level,15.1625,
78,Bromus erectus,Bromus erectus,Poaceae,4,Generalist,Generalist,gen.level,1.525,
79,Bupleurum ranunculoides,Bupleurum ranunculoides,Apiaceae,9,Generalist,Generalist,gen.level,10.9,
80,Calluna vulgaris,Calluna vulgaris,Ericaceae,127,Generalist,Generalist,,,
81,Campanula arvatica,Campanula arvatica,Campanulaceae,44,Generalist,Generalist,gen.level,36.7,
82,Campanula cantabrica,Campanula cantabrica,Campanulaceae,1,Casual,Generalist,gen.level,36.7,
83,Campanula glomerata,Campanula glomerata,Campanulaceae,3,Generalist,Generalist,gen.level,36.7,
84,Campanula herminii,Campanula herminii,Campanulaceae,49,Specialist.4.3,Specialist,gen.level,36.7,
85,Campanula rotundifolia,Campanula rotundifolia,Campanulaceae,19,Generalist,Generalist,gen.level,36.7,
86,Campanula scheuchzeri,Campanula scheuchzeri,Campanulaceae,15,Specialist.4.3,Specialist,gen.level,36.7,
87,Cardamine impatiens,Cardamine impatiens,Brassicaceae,14,Generalist,Generalist,sp.level,36,Fadb
88,Carduus carlinoides,Carduus carlinoides,Asteraceae,2,Generalist,Generalist,gen.level,29.13333333,
89,Carduus carpetanus,Carduus carpetanus,Asteraceae,4,Generalist,Generalist,gen.level,29.13333333,
90,Carduus defloratus,Carduus defloratus,Asteraceae,4,Generalist,Generalist,gen.level,29.13333333,
91,Carex asturica,Carex asturica,Cyperaceae,24,Generalist,Generalist,gen.level,6.477777778,
92,Carex brevicollis,Carex brevicollis,Cyperaceae,4,Generalist,Generalist,gen.level,6.477777778,
93,Carex capillaris,Carex capillaris,Cyperaceae,8,Generalist,Generalist,gen.level,6.477777778,
94,Carex caryophyllea,Carex caryophyllea,Cyperaceae,25,Generalist,Generalist,gen.level,6.477777778,
95,Carex depressa subsp. basilaris,Carex depressa,Cyperaceae,1,Casual,Generalist,gen.level,6.477777778,
96,Carex echinata,Carex echinata,Cyperaceae,1,Casual,Generalist,gen.level,6.477777778,
97,Carex foetida,Carex foetida,Cyperaceae,4,Generalist,Generalist,gen.level,6.477777778,
98,Carex furva,Carex furva,Cyperaceae,2,Generalist,Generalist,gen.level,6.477777778,
99,Carex halleriana,Carex halleriana,Cyperaceae,3,Generalist,Generalist,gen.level,6.477777778,
100,Carex humilis,Carex humilis,Cyperaceae,21,Generalist,Generalist,gen.level,6.477777778,
101,Carex lepidocarpa,Carex lepidocarpa,Cyperaceae,3,Generalist,Generalist,gen.level,6.477777778,
102,Carex leporina,Carex leporina,Cyperaceae,3,Generalist,Generalist,gen.level,6.477777778,
103,Carex macrostyla,Carex macrostyla,Cyperaceae,20,Generalist,Generalist,gen.level,6.477777778,
104,Carex nigra,Carex nigra,Cyperaceae,8,Generalist,Generalist,gen.level,6.477777778,
105,Carex ornithopoda,Carex ornithopoda,Cyperaceae,33,Generalist,Generalist,gen.level,6.477777778,
106,Carex panicea,Carex panicea,Cyperaceae,1,Casual,Generalist,gen.level,6.477777778,
107,Carex parviflora,Carex parviflora,Cyperaceae,19,Specialist.4.4,Specialist,gen.level,6.477777778,
108,Carex pilulifera,Carex pilulifera,Cyperaceae,8,Generalist,Generalist,gen.level,6.477777778,
109,Carex pulicaris,Carex pulicaris,Cyperaceae,1,Generalist,Generalist,gen.level,6.477777778,
110,Carex pyrenaica,Carex pyrenaica,Cyperaceae,4,Generalist,Generalist,gen.level,6.477777778,
111,Carex rupestris,Carex rupestris,Cyperaceae,3,Generalist,Generalist,gen.level,6.477777778,
112,Carex sempervirens,Carex sempervirens,Cyperaceae,217,Specialist.4.4,Specialist,sp.level,15.004,Own data
113,Carthamus mitissimus,Carthamus mitissimus,,2,Casual,Generalist,gen.level,20.49571429,
114,Carum verticillatum,Carum verticillatum,,1,Casual,Generalist,gen.level,14.8,
115,Centaurea janeri subsp. babiana,Centaurea janeri,,3,Generalist,Generalist,gen.level,19.01631579,
116,Cerastium arvense,Cerastium arvense,Caryophyllaceae,19,Generalist,Generalist,gen.level,4.483333333,
117,Cerastium cerastoides,Cerastium cerastoides,Caryophyllaceae,1,Casual,Generalist,gen.level,4.483333333,
118,Cerastium fontanum,Cerastium fontanum,Caryophyllaceae,4,Generalist,Generalist,gen.level,4.483333333,
119,Cerastium gracile,Cerastium gracile,Caryophyllaceae,4,Generalist,Generalist,gen.level,4.483333333,
120,Cerastium pumilum subsp. pumilum,Cerastium pumilum,Caryophyllaceae,2,Casual,Generalist,gen.level,4.483333333,
,Cerastium ramosissimum,Cerastium ramosissimum,Caryophyllaceae,0,Generalist,Generalist,gen.level,4.483333333,
121,Chaenorhinum origanifolium subsp. origanifolium,Chaenorhinum origanifolium,Plantaginaceae,18,Generalist,Generalist,,,
122,Clinopodium alpinum subsp. pyrenaeum,Clinopodium alpinum,Lamiaceae,10,Generalist,Generalist,gen.level,18.86666667,
123,Clinopodium vulgare,Clinopodium vulgare,Lamiaceae,1,Casual,Generalist,sp.level,21.6,Fadb
124,Coincya monensis,Coincya monensis,Brassicaceae,1,Casual,Generalist,sp.level,21.9,
125,Colchicum montanum,Colchicum montanum,,19,Generalist,Generalist,gen.level,1.1,
126,Conopodium arvense,Conopodium arvense,Apiaceae,5,Generalist,Generalist,,,
127,Conopodium bourgei,Conopodium bourgei,Apiaceae,3,Generalist,Generalist,,,
128,Conopodium majus,Conopodium majus,Apiaceae,27,Generalist,Generalist,sp.level,3.482,Own data
