Taxon,species ,family,community,code ,year_analisis,C12:0 ,C14:0 ,C15:0 ,C16:0 ,C16:1n7,C17:0 ,C18:0 ,C18:1n7c ,C18:1n9c ,C18:2n6c ,C18:3n3  ,C18:3n6,C18:4n3,C20:0 ,C20:1n9,C20:2n6,C22:0 ,C22:1n9 ,C22:2n6,C24:0 
Androsace villosa,Androsace villosa,Primulaceae,Temperate,310821-11,2022,0.48,0.48,0,6.97,0.29,0.31,2.06,0.46,30.74,39.02,17.93,0,0,0.39,0.29,0.03,0.34,0,0,0.2
Anthyllis vulneraria,Anthyllis vulneraria,Fabaceae,Temperate,310821-12,2023,0,0.12,0,12.81,0,0.18,3.27,0.86,22.34,46.24,12.13,0,0,0.63,0.41,0,0.62,0,0,0.4
Arenaria erinacea,Arenaria erinacea,Caryophyllaceae,Temperate,300821-08,2023,0,0,0,10.69,0.23,0,1.83,0.96,28.32,40.26,1.1,15.16,0,0.33,0.47,0,0.22,0,0,0.43
Armeria cantabrica,Armeria cantabrica,Plumbaginaceae,Temperate,230822-01,2023,0,0.36,0,16.27,0,0,0.95,1.12,18.26,26.5,33.91,0,0,0.36,0.72,0.23,0.53,0.37,0,0.42
Armeria duriaei,Armeria duriaei,Plumbaginaceae,Mediterranean,250821-01,2022,0,0.21,0,14.56,0.09,0.17,0.88,1.03,17.94,29.03,34.29,0,0,0.46,0.57,0.1,0.4,0,0,0.27
Carex sempervirens,Carex sempervirens,Cyperaceae,Temperate,310821-13,2022,0,0.08,0,6.55,0.05,0.03,2.98,0.58,19.53,68.18,0.34,1.04,0.18,0.03,0.28,0.15,0,0,0,0
Conopodium majus,Conopodium majus,Apiaceae,Mediterranean,240821-03,2023,0,0.22,0,7.87,0.18,0,0.97,0.57,67.76,19.41,1.05,0,0,0.73,0,0,0.67,0,0,0.57
Dianthus langeanus,Dianthus langeanus,Caryophyllaceae,Mediterranean,110821-01,2023,0,0.11,0,10.69,0.14,0.15,2.48,1.08,34.12,44.06,4.28,1.4,0.22,0.41,0.42,0,0.23,0,0,0.21
Festuca glacialis,Festuca glacialis,Poaceae,Temperate,230822-04,2023,0.55,0.65,0,15.97,0,0,1.64,1.28,16.38,49.26,10.33,0,0,2.61,0.83,0,0.5,0,0,0
Festuca summilusitana,Festuca summilusitana,Poaceae,Mediterranean,250821-02,2022,0.31,0.93,0,14.75,1.02,0,1.68,2.37,20.8,49.59,6.01,0,0,1.08,0.62,0,0.37,0,0,0.49
Gypsophila repens,Gypsophila repens,Caryophyllaceae,Temperate,310821-08,2023,0,0.15,0,7.47,0,0,1.5,0.86,30.79,53.5,2.07,1.13,0.26,0.38,0.93,0.13,0.31,0,0,0.53
Helianthemum canum,Helianthemum canum,Cistaceae,Temperate,300821-05,2023,0,0.2,0,17.22,0,0.2,2.03,0.61,8.81,57.15,12.95,0,0,0.3,0.14,0,0.25,0,0,0.14
Helianthemum urrielense,Helianthemum urrielense,Cistaceae,Temperate,130921-05,2023,0,0.22,0,19.22,0,0.19,3.09,0.72,7.47,47.58,20.37,0,0,0.47,0.11,0,0.31,0,0,0.24
Helictochloa marginata,Helictochloa marginata,Poaceae,Mediterranean,040822-10,2023,0,0.07,0,8.41,0.09,0.09,2.43,0.8,41.42,44.07,1.49,0,0,0.23,0.7,0,0.1,0,0,0.1
Jurinea humilis,Jurinea humilis,Asteraceae,Mediterranean,120821-03,2023,0,0.27,0,7.88,0.09,0.05,4.01,0.66,31.24,49.3,0.2,0,0,0.63,5.22,0,0.18,0,0,0.25
Kobresia myosuroides,Kobresia myosuroides,Cyperaceae,Temperate,130921-03,2023,0,0.09,0,6.65,0.09,0,1.71,0.74,13.21,74.4,1.03,0,0,0.46,0.44,0.21,0.49,0,0,0.48
Koeleria vallesiana,Koeleria vallesiana,Poaceae,Temperate,300821-02,2023,0,0.08,0,8.18,0.13,0.1,2.37,0.88,20.03,65.17,2.17,0,0,0.31,0.37,0,0.12,0,0,0.09
Luzula caespitosa,Luzula caespitosa,Juncaceae,Mediterranean,110821-03,2023,0,0.15,0,10.73,0,0.23,2.36,0.63,61.56,17.27,0.38,0,0,0.26,4.33,0,0.46,1.34,0,0.28
Minuartia recurva,Minuartia recurva,Caryophyllaceae,Mediterranean,110821-07,2023,0,0,0,13.25,0.23,0.15,1.69,1.47,23.19,48.98,1.8,7.94,0,0.3,0.43,0,0.19,0,0,0.39
Neoschischkinia truncatula,Neoschischkinia truncatula,Poaceae,Mediterranean,250821-03,2023,0,0.2,0,12.36,0.2,0,0.76,1.7,18.46,59.56,5.92,0,0,0.14,0.53,0,0.17,0,0,0
Phyteuma hemisphaericum,Phyteuma hemisphaericum,Campanulaceae,Mediterranean,240821-10,2023,0,0.06,0,7.15,0.08,0.06,2.85,0.57,13.47,73.9,1.64,0,0,0.06,0.07,0,0.03,0,0,0.04
Plantago alpina,Plantago alpina,Plantaginaceae,Temperate,300821-15,2022,0,0.04,0.07,8.56,0.07,0.07,1.66,0.98,17.05,30.43,40.51,0,0,0.26,0.14,0.07,0.09,0,0,0
Plantago holosteum,Plantago holosteum,Plantaginaceae,Mediterranean,250821-12,2023,0,0,0,9.79,0.1,0.08,1.69,1.09,17.45,36.64,32.64,0,0,0.23,0.12,0.06,0.1,0,0,0
Salix breviserrata,Salix breviserrata,Salicaceae,Temperate,140722-01,2023,0,0.26,0,20.63,0.17,0.15,3.81,0.47,24.73,38.9,8.33,0,0,0.68,0.51,0,0.79,0,0,0.58
Saxifraga conifera,Saxifraga conifera,Saxifragaceae,Temperate,120722-01,2023,0.04,0.13,0,8.93,0.09,0.06,0.56,0.65,9.09,31.72,48.11,0,0,0.03,0.4,0.07,0.04,0.03,0,0.05
Saxifraga paniculata,Saxifraga paniculata,Saxifragaceae,Temperate,310821-14,2023,0.08,0.22,0,7.73,0.08,0.05,0.75,0.5,10.71,30.97,47.97,0,0,0.06,0.67,0.12,0.04,0,0,0.04
Sedum anglicum,Sedum anglicum,Crassulaceae,Mediterranean,240821-09,2023,0,0.06,0,7.44,0.09,0.07,2.46,0.65,8.5,28.16,51.55,0,0,0.45,0.07,0.04,0.3,0,0,0.15
Sedum brevifolium,Sedum brevifolium,Crassulaceae,Mediterranean,240821-11,2023,0,0.07,0,7.2,0.08,0.08,3.12,0.6,6.59,31.83,49.17,0,0,0.54,0.07,0.07,0.45,0,0,0.13
Silene acaulis,Silene acaulis,Caryophyllaceae,Temperate,140921-03,2023,0,0,0,12.15,0.13,0.32,1.36,1.33,18.78,58.63,1.69,3.44,0.34,0.37,0.44,0.25,0.25,0,0,0.52
