Taxon,code,community,site ,mass_50
Androsace villosa,300821-03,Temperate,Hoyo sin tierra,73
Androsace villosa,300821-03,Temperate,Hoyo sin tierra,76
Androsace villosa,300821-03,Temperate,Hoyo sin tierra,76
Androsace villosa,300821-03,Temperate,Hoyo sin tierra,76
Androsace villosa,300821-03,Temperate,Hoyo sin tierra,83
Androsace villosa,310821-11,Temperate,Los cazadores,56
Androsace villosa,310821-11,Temperate,Los cazadores,56
Androsace villosa,310821-11,Temperate,Los cazadores,59
Androsace villosa,310821-11,Temperate,Los cazadores,57
Androsace villosa,310821-11,Temperate,Los cazadores,54
Anthyllis vulneraria,310821-12,Temperate,Los cazadores,195
Anthyllis vulneraria,310821-12,Temperate,Los cazadores,184
Anthyllis vulneraria,310821-12,Temperate,Los cazadores,210
Anthyllis vulneraria,310821-12,Temperate,Los cazadores,164
Anthyllis vulneraria,120722-02,Temperate,Hoyo sin tierra,230
Anthyllis vulneraria,120722-02,Temperate,Hoyo sin tierra,220
Anthyllis vulneraria,120722-02,Temperate,Hoyo sin tierra,229
Anthyllis vulneraria,120722-02,Temperate,Hoyo sin tierra,210
Anthyllis vulneraria,120722-02,Temperate,Hoyo sin tierra,220
Anthyllis vulneraria,120722-02,Temperate,Hoyo sin tierra,219
Anthyllis vulneraria,120722-02,Temperate,Hoyo sin tierra,249
Anthyllis vulneraria,120722-02,Temperate,Hoyo sin tierra,231
Anthyllis vulneraria,120722-02,Temperate,Hoyo sin tierra,226
Anthyllis vulneraria,120722-02,Temperate,Hoyo sin tierra,240
Anthyllis vulneraria,120722-02,Temperate,Hoyo sin tierra,180
Anthyllis vulneraria,120722-02,Temperate,Hoyo sin tierra,220
Anthyllis vulneraria,120722-02,Temperate,Hoyo sin tierra,234
Anthyllis vulneraria,120722-02,Temperate,Hoyo sin tierra,219
Anthyllis vulneraria,120722-02,Temperate,Hoyo sin tierra,223
Arenaria erinacea,300821-08,Temperate,Hoyo sin tierra,15.66
Arenaria erinacea,300821-08,Temperate,Hoyo sin tierra,18.27
Arenaria erinacea,300821-08,Temperate,Hoyo sin tierra,18.32
Arenaria erinacea,300821-08,Temperate,Hoyo sin tierra,18.02
Arenaria erinacea,300821-08,Temperate,Hoyo sin tierra,19.6
Arenaria erinacea,300821-08,Temperate,Hoyo sin tierra,21
Arenaria erinacea,300821-08,Temperate,Hoyo sin tierra,20
Arenaria erinacea,300821-08,Temperate,Hoyo sin tierra,20
Arenaria erinacea,300821-08,Temperate,Hoyo sin tierra,21
Arenaria erinacea,300821-08,Temperate,Hoyo sin tierra,19
Arenaria moehringioides,310823-01,Temperate,Boches,11.54
Arenaria moehringioides,310823-01,Temperate,Boches,10.22
Arenaria moehringioides,310823-01,Temperate,Boches,11.12
Arenaria moehringioides,310823-01,Temperate,Boches,12.39
Arenaria moehringioides,310823-01,Temperate,Boches,12.11
Arenaria moehringioides,310823-01,Temperate,Boches,11.33
Armeria cantabrica,130921-15,Temperate,Hou sin tierri,102
Armeria cantabrica,130921-15,Temperate,Hou sin tierri,104
Armeria cantabrica,130921-15,Temperate,Hou sin tierri,102
Armeria cantabrica,130921-15,Temperate,Hou sin tierri,122
Armeria cantabrica,130921-15,Temperate,Hou sin tierri,116
Armeria cantabrica,190822-09,Temperate,Hou sin tierri,89
Armeria cantabrica,190822-09,Temperate,Hou sin tierri,91
Armeria cantabrica,190822-09,Temperate,Hou sin tierri,93
Armeria cantabrica,190822-09,Temperate,Hou sin tierri,77
Armeria cantabrica,230822-01,Temperate,Boches,73
Armeria cantabrica,230822-01,Temperate,Boches,80
Armeria cantabrica,230822-01,Temperate,Boches,75
Armeria cantabrica,230822-01,Temperate,Boches,76
Armeria cantabrica,230822-01,Temperate,Boches,71
Carex sempervirens,310821-13,Temperate,Los cazadores,46
Carex sempervirens,310821-13,Temperate,Los cazadores,52
Carex sempervirens,310821-13,Temperate,Los cazadores,43
Carex sempervirens,310821-13,Temperate,Los cazadores,48
Carex sempervirens,310821-13,Temperate,Los cazadores,49
Carex sempervirens,130921-02,Temperate,Hou sin tierri,48
Carex sempervirens,130921-02,Temperate,Hou sin tierri,44
Carex sempervirens,130921-02,Temperate,Hou sin tierri,44
Carex sempervirens,130921-02,Temperate,Hou sin tierri,45
Carex sempervirens,130921-02,Temperate,Hou sin tierri,51
Dethawia splendens,300822-04,Temperate,Los cazadores,140
Dethawia splendens,010923-01,Temperate,Los cazadores,120.23
Dethawia splendens,010923-01,Temperate,Los cazadores,106.21
Dethawia splendens,010923-01,Temperate,Los cazadores,126.83
Dethawia splendens,010923-01,Temperate,Los cazadores,111.97
Dethawia splendens,010923-01,Temperate,Los cazadores,104.63
Dethawia splendens,010923-01,Temperate,Los cazadores,129.97
Dethawia splendens,010923-01,Temperate,Los cazadores,134.67
Dethawia splendens,210823-08,Temperate,Hoyo sin tierra,177.73
Dethawia splendens,210823-08,Temperate,Hoyo sin tierra,178.6
Erigeron alpinus,230822-06,Temperate,Boches,8.03
Erigeron alpinus,190822-12,Temperate,Hou sin tierri,6.86
Erigeron alpinus,190822-12,Temperate,Hou sin tierri,6.62
Erigeron alpinus,190822-12,Temperate,Hou sin tierri,6.83
Erigeron alpinus,190822-12,Temperate,Hou sin tierri,6.92
Erigeron alpinus,190822-12,Temperate,Hou sin tierri,6.98
Erigeron alpinus,190822-12,Temperate,Hou sin tierri,6.35
Erigeron alpinus,210823-05,Temperate,Hoyo sin tierra,5.42
Erigeron alpinus,210823-05,Temperate,Hoyo sin tierra,5.47
Erigeron alpinus,210823-05,Temperate,Hoyo sin tierra,5.91
Euphrasia salisburgensis,300921-01,Temperate,Los cazadores,8
Euphrasia salisburgensis,300921-01,Temperate,Los cazadores,8
Euphrasia salisburgensis,300921-01,Temperate,Los cazadores,7
Euphrasia salisburgensis,300921-01,Temperate,Los cazadores,8
Euphrasia salisburgensis,300921-01,Temperate,Los cazadores,5
Euphrasia salisburgensis,011021-01,Temperate,Hou sin tierri,8.45
Euphrasia salisburgensis,011021-01,Temperate,Hou sin tierri,10.13
Euphrasia salisburgensis,011021-01,Temperate,Hou sin tierri,8.45
Euphrasia salisburgensis,011021-01,Temperate,Hou sin tierri,7.96
Euphrasia salisburgensis,011021-01,Temperate,Hou sin tierri,8.37
Festuca glacialis,190822-03,Temperate,Hou sin tierri,31
Festuca glacialis,190822-03,Temperate,Hou sin tierri,32
Festuca glacialis,190822-03,Temperate,Hou sin tierri,39
Festuca glacialis,190822-03,Temperate,Hou sin tierri,30
Festuca glacialis,190822-03,Temperate,Hou sin tierri,35
Festuca glacialis,230822-04,Temperate,Boches,24
Festuca glacialis,230822-04,Temperate,Boches,25
Festuca glacialis,230822-04,Temperate,Boches,25
Festuca glacialis,230822-04,Temperate,Boches,25
Festuca glacialis,230822-04,Temperate,Boches,22
Festuca rubra,310821-02,Temperate,Los cazadores,4.71
Festuca rubra,310821-02,Temperate,Los cazadores,4.23
Festuca rubra,310821-02,Temperate,Los cazadores,4.97
Festuca rubra,310821-02,Temperate,Los cazadores,4.95
Festuca rubra,310821-02,Temperate,Los cazadores,4.96
Festuca rubra,310821-02,Temperate,Los cazadores,8.84
Festuca rubra,310821-02,Temperate,Los cazadores,7.86
Festuca rubra,310821-02,Temperate,Los cazadores,8.92
Festuca rubra,310821-02,Temperate,Los cazadores,10.69
Festuca rubra,310821-02,Temperate,Los cazadores,7.1
Galium pyrenaicum,310822-03,Temperate,Hou sin tierri,46
Galium pyrenaicum,310822-03,Temperate,Hou sin tierri,45
Galium pyrenaicum,310822-03,Temperate,Hou sin tierri,41
Galium pyrenaicum,310822-03,Temperate,Hou sin tierri,37
Galium pyrenaicum,310822-03,Temperate,Hou sin tierri,44
Galium pyrenaicum,310822-03,Temperate,Hou sin tierri,40
Galium pyrenaicum,310822-03,Temperate,Hou sin tierri,38
Galium pyrenaicum,310822-03,Temperate,Hou sin tierri,38
Galium pyrenaicum,310822-03,Temperate,Hou sin tierri,40
Galium pyrenaicum,310822-03,Temperate,Hou sin tierri,36
Galium pyrenaicum,310822-03,Temperate,Hou sin tierri,46
Galium pyrenaicum,310822-03,Temperate,Hou sin tierri,45
