Taxon_full,Taxon,community,bio1,bio2,bio7,FDD,GDD,Snw
Agrostis schleicheri,Agrostis schleicheri,Temperate,4.089865242,3.20422427,24.42857143,0,980.3214286,205
Alchemilla catalaunica,Alchemilla catalaunica,Temperate,4.515722931,2.94401548,22.25074336,9.547302291,1100.518002,98.37028825
Androsace villosa,Androsace villosa,Temperate,5.077703812,3.904994171,24.0457012,26.57815582,1308.182273,86.25295858
Anemone pavoniana,Anemone pavoniana,Temperate,4.500865801,2.869787739,21.92857143,0,1082.785714,72
Anthyllis vulneraria,Anthyllis vulneraria,Temperate,3.819639038,3.041165145,23.29638534,52.357748,925.3550249,90.22550832
Arabis alpina,Arabis alpina,Temperate,3.636601078,2.434581761,21.17322407,13.57075472,804.984726,64.71698113
Arenaria erinacea,Arenaria erinacea,Temperate,5.507462387,4.558998367,26.04332149,17.76017812,1379.760723,75.10687023
Arenaria grandiflora,Arenaria grandiflora,Temperate,3.346236533,2.442222617,21.89320276,16.51527778,733.3412698,130.8
Arenaria moehringioides,Arenaria moehringioides,Temperate,3.425706749,2.399155573,21.56020514,51.8844086,790.9385561,79.61290323
Arenaria purpurascens,Arenaria purpurascens,Temperate,4.238876791,2.942562102,22.965961,31.69468705,1025.533739,103.7292576
Armeria cantabrica,Armeria cantabrica,Temperate,3.250154598,2.22915828,21.12912064,26.54703196,712.851022,116.8986301
Asplenium viride,Asplenium viride,Temperate,4.307082344,2.480128474,22.67741935,44.58333333,1055.5,84
Botrychium lunaria,Botrychium lunaria,Temperate,3.232930268,2.065833249,19.03225806,0.875,706.3988095,95
Carduus carlinoides,Carduus carlinoides,Temperate,3.322232615,2.421173117,21.41935484,39.58333333,764.4880952,107
Carex ornithopoda,Carex ornithopoda,Temperate,3.330795725,2.354027388,19.98072895,17.42424242,718.3679654,36.45454545
Carex pulicaris,Carex pulicaris,Temperate,3.115864428,2.36652028,20.30645161,0,633.9166667,49
Carex sempervirens,Carex sempervirens,Temperate,4.740472248,3.496263931,23.77100482,25.45632184,1191.844089,92.92183908
Cystopteris fragilis,Cystopteris fragilis,Temperate,5.249747606,3.399266061,21.50389933,10.19230769,1340.734432,85.53846154
Dethawia splendens subsp. cantabrica,Dethawia splendens,Temperate,4.617589269,3.417368777,24.21443279,30.12056738,1162.726444,109.9007092
Draba dedeana,Draba dedeana,Temperate,5.30604931,4.94554387,26.12903226,38.83333333,1399.809524,80
Epilobium anagallidifolium,Epilobium anagallidifolium,Temperate,3.688915363,2.972449728,24.85714286,4.5,812.0833333,188
Erigeron alpinus,Erigeron alpinus,Temperate,4.645345963,3.520614482,25.26060702,9.33908046,1114.119458,149.6551724
Erinus alpinus,Erinus alpinus,Temperate,4.307082344,2.480128474,22.67741935,44.58333333,1055.5,84
Eryngium bourgatii,Eryngium bourgatii,Temperate,4.317666949,3.026212296,24.22580645,4.375,998.797619,128.25
Euphorbia pyrenaica,Euphorbia pyrenaica,Temperate,5.26955243,4.113192374,25.46360802,20.88235294,1331.120798,99.23529412
Euphrasia salisburgensis,Euphrasia salisburgensis,Temperate,4.527201027,3.759040118,24.67246195,91.76767677,1219.895743,79
Festuca glacialis,Festuca glacialis,Temperate,3.069495591,2.147337705,20.69854661,24.74230769,649.4185714,102.0676923
Festuca gr. rubra,Festuca rubra,Temperate,4.311377849,3.111056439,23.42758122,29.44416568,1052.028117,105.6251476
Festuca hystrix,Festuca hystrix,Temperate,5.176145945,3.889317909,24.10575635,47.2318314,1367.433555,77.71511628
Festuca picoeuropeana,Festuca picoeuropeana,Temperate,4.939715276,3.490113495,23.36648333,13.26164875,1232.889171,92.46236559
Galium pumilum,Galium pumilum,Temperate,3.799558517,2.161223118,19.97580645,17.08333333,843.4642857,46
Galium pyrenaicum,Galium pyrenaicum,Temperate,3.892187084,3.97352689,27.78138958,154.074359,1049.766484,67.21538462
Genista legionensis,Genista legionensis,Temperate,4.928922906,3.527229306,25.32517281,7.005208333,1227.577381,153.5
Gentiana nivalis,Gentiana nivalis,Temperate,4.06214722,2.992024362,22.55336406,37.88777778,986.5071429,85.89333333
Gentiana verna,Gentiana verna,Temperate,4.811091185,3.81377202,25.21914386,11.77409639,1191.611446,112.2409639
Gentianella campestris,Gentianella campestris,Temperate,4.918235349,3.528634269,23.92165899,2.5,1205.845238,67
Gnaphalium hoppeanum,Gnaphalium hoppeanum,Temperate,3.538402184,2.897622598,25.40387922,1.493781095,746.3091684,156.4925373
Gypsophila repens,Gypsophila repens,Temperate,5.125803362,4.324712522,25.34434305,41.29560367,1351.382358,92.73622047
Helianthemum apenninum subsp. cantabricum,Helianthemum apenninum,Temperate,4.280437148,2.922596355,24.53225806,54.08333333,1045.797619,139
Helianthemum apenninum subsp. urrielense,Helianthemum urrielense,Temperate,3.825430204,2.822890924,22.86773126,24.34729791,885.5083474,113.2134423
Helianthemum canum,Helianthemum canum,Temperate,4.909893873,3.764841054,24.41754973,34.29973632,1249.728334,81.92635025
Helictotrichon sedenense,Helictotrichon sedenense,Temperate,3.931946289,3.245040788,24.11904854,64.60169661,967.2147277,83.6011976
