Taxon,species,order,family,community,code ,year_analisis,ecology
Conopodium majus,Conomaju,Apiales,Apiaceae,Mediterranean,240821-03,2023,Generalist
Dethawia splendens,Dethsple,Apiales,Apiaceae,Temperate,010923-01,2024,Strict alpine
Jurinea humilis,Jurihumi.1,Asterales,Asteraceae,Mediterranean,120821-03,2023,Generalist
Phyteuma hemisphaericum,Phythemi,Asterales,Campanulaceae,Mediterranean,240821-10,2023,Strict alpine
Solidago virgaurea,Solivirg,Asterales,Asteraceae,Mediterranean,240821-08,2023,Generalist
Jasione cavanillesii,Jasicava,Asterales,Campanulaceae,Temperate,230822-02,2024,Strict alpine
Jurinea humilis,Jurihumi,Asterales,Asteraceae,Temperate,210823-09,2024,Strict alpine
Phalacrocarpum oppositifolium,Phaloppo,Asterales,Asteraceae,Mediterranean,110822-02,2024,Generalist
Teesdalia conferta,Teesconf,Brassicales,Brassicaceae,Mediterranean,090822-04,2023,Generalist
Iberis carnosa,Ibercarn,Brassicales,Brassicaceae,Temperate,210823-13,2024,Strict alpine
Arenaria erinacea,Arenerin,Caryophyllales,Caryophyllaceae,Temperate,300821-08,2023,Strict alpine
Armeria cantabrica,Armecant,Caryophyllales,Plumbaginaceae,Temperate,230822-01,2023,Strict alpine
Armeria duriaei,Armeduri,Caryophyllales,Plumbaginaceae,Mediterranean,250821-01,2022,Strict alpine
Dianthus langeanus,Dianlang,Caryophyllales,Caryophyllaceae,Mediterranean,110821-01,2023,Strict alpine
Gypsophila repens,Gypsrepe,Caryophyllales,Caryophyllaceae,Temperate,310821-08,2023,Generalist
Minuartia recurva,Minurecu,Caryophyllales,Caryophyllaceae,Mediterranean,110821-07,2023,Strict alpine
Silene acaulis,Sileacau,Caryophyllales,Caryophyllaceae,Temperate,140921-03,2023,Strict alpine
Silene ciliata,Silecili,Caryophyllales,Caryophyllaceae,Temperate,300821-11,2023,Strict alpine
Silene ciliata,Silecili.1,Caryophyllales,Caryophyllaceae,Mediterranean,040822-07,2023,Strict alpine
Spergula morisonii,Spermori,Caryophyllales,Caryophyllaceae,Mediterranean,310522-01,2023,Strict alpine
Cerastium ramosissimum,Ceraramo,Caryophyllales,Caryophyllaceae,Mediterranean,270623-01,2024,Generalist
Minuartia verna,Minuvern,Caryophyllales,Caryophyllaceae,Temperate,210823-01,2024,Strict alpine
Androsace villosa,Andrvill,Ericales,Primulaceae,Temperate,310821-11,2022,Strict alpine
Anthyllis vulneraria,Anthvuln,Fabales,Fabaceae,Temperate,310821-12,2023,Generalist
Gentiana verna,Gentvern,Gentianales,Gentianaceae,Temperate,310823-09,2024,Strict alpine
Plantago alpina,Planalpi,Lamiales,Plantaginaceae,Temperate,300821-15,2022,Strict alpine
Plantago holosteum,Planholo,Lamiales,Plantaginaceae,Mediterranean,250821-12,2023,Generalist
Thymus praecox,Thymprae,Lamiales,Lamiaceae,Temperate,300821-07,2023,Generalist
Thymus praecox,Thymprae.1,Lamiales,Lamiaceae,Mediterranean,110821-05,2023,Generalist
Pedicularis pyrenaica,Pedipyre,Lamiales,Orobanchaceae,Temperate,010923-05,2024,Strict alpine
Veronica nummularia,Veronumm,Lamiales,Plantaginaceae,Temperate,190822-06,2024,Strict alpine
Salix breviserrata,Salibrev,Malpighiales,Salicaceae,Temperate,140722-01,2023,Strict alpine
Helianthemum canum,Helicanu,Malvales,Cistaceae,Temperate,300821-05,2023,Generalist
Helianthemum urrielense,Heliurri,Malvales,Cistaceae,Temperate,130921-05,2023,Strict alpine
Carex sempervirens,Caresemp,Poales,Cyperaceae,Temperate,310821-13,2022,Strict alpine
Festuca glacialis,Festglac,Poales,Poaceae,Temperate,230822-04,2023,Strict alpine
Festuca summilusitana,Festsumm,Poales,Poaceae,Mediterranean,250821-02,2022,Strict alpine
Helictochloa marginata,Helimarg,Poales,Poaceae,Mediterranean,040822-10,2023,Generalist
Kobresia myosuroides,Kobrmyos,Poales,Cyperaceae,Temperate,130921-03,2023,Strict alpine
Koeleria vallesiana,Koelvall,Poales,Poaceae,Temperate,300821-02,2023,Strict alpine
Luzula caespitosa,Luzucaes,Poales,Juncaceae,Mediterranean,110821-03,2023,Strict alpine
Neoschischkinia truncatula,Neostrun,Poales,Poaceae,Mediterranean,250821-03,2023,Strict alpine
Avenella flexuosa,Avenflex,Poales,Poaceae,Mediterranean,070823-05,2024,Generalist
Sesleria caerulea,Seslcaer,Poales,Poaceae,Temperate,010923-04,2024,Generalist
Saxifraga conifera,Saxiconi,Saxifragales,Saxifragaceae,Temperate,120722-01,2023,Strict alpine
Saxifraga paniculata,Saxipani,Saxifragales,Saxifragaceae,Temperate,310821-14,2023,Strict alpine
Sedum anglicum,Seduangl,Saxifragales,Crassulaceae,Mediterranean,240821-09,2023,Strict alpine
Sedum brevifolium,Sedubrev,Saxifragales,Crassulaceae,Mediterranean,240821-11,2023,Generalist
Saxifraga oppositifolia,Saxioppo,Saxifragales,Saxifragaceae,Temperate,310823-17,2024,Strict alpine
Sempervivum arachnoideum,Semparac,Saxifragales,Crassulaceae,Mediterranean,230921-04,2024,Generalist
