"","Taxon","community","family","ecology","oil.content","ratio","mass_50","p50","T50_F","T50_S","EHS_F","EHS_S","GDD","FDD","Snw"
"1","Androsace villosa","Temperate","Primulaceae","Strict alpine",4.8827618363,7.90382902938557,66.6,23.0066666666667,NA,NA,NA,NA,1308.182273,26.57815582,86.25295858
"2","Anthyllis vulneraria","Temperate","Fabaceae","Generalist",6.428,4.54686633388796,215.947,47.65,NA,NA,NA,NA,925.3550249,52.357748,90.22550832
"3","Arenaria erinacea","Temperate","Caryophyllaceae","Strict alpine",2.265,6.40740740740741,19.087,37.66,NA,NA,NA,NA,1379.760723,17.76017812,75.10687023
"4","Armeria cantabrica","Temperate","Plumbaginaceae","Strict alpine",2.959,4.29380624669137,90.786,18.395,238.2,278,654.2,596.8,712.851022,26.54703196,116.8986301
"5","Armeria duriaei","Mediterranean","Plumbaginaceae","Strict alpine",4.328,4.89970501474926,75.698,34.63,7.3,15.2,94.9,130.9,1850.178291,14.28031561,23.7358804
"6","Avenella flexuosa","Mediterranean","Poaceae","Generalist",1.192,1.24517287831163,49.286,NA,NA,NA,NA,NA,1928.59421,2.127651515,6.822727273
"7","Carex sempervirens","Temperate","Cyperaceae","Strict alpine",15.004,9.34126163391934,47,7.19,244.9,282.9,694,548.3,1191.844089,25.45632184,92.92183908
"8","Cerastium ramosissimum","Mediterranean","Caryophyllaceae","Generalist",3.201,5.14505224339275,6.563,16.24,48.8,48,800.3,755.6,1722.072789,21.46666667,12.77142857
"9","Conopodium majus","Mediterranean","Apiaceae","Generalist",3.482,8.06618313689937,75.499,NA,207.6,239,534.7,354.3,1933.779906,2.137096774,8.830645161
"10","Dethawia splendens","Temperate","Apiaceae","Strict alpine",17.466,12.2802124833997,133.084,NA,212.9,230.4,457.6,251.9,1162.726444,30.12056738,109.9007092
"11","Dianthus langeanus","Mediterranean","Caryophyllaceae","Strict alpine",4.362,6.00280112044818,42.564,37.295,3.7,5.4,56,70.3,1957.442746,7.546358231,26.00222965
"12","Festuca glacialis","Temperate","Poaceae","Strict alpine",1.363,3.56204379562044,28.8,14.875,NA,NA,NA,NA,649.4185714,24.74230769,102.0676923
"13","Festuca summilusitana","Mediterranean","Poaceae","Strict alpine",1.48,4.10045894951555,82.344,11.67,18.4,23.1,219.6,182.3,1807.277031,20.15787767,21.74816965
"14","Gentiana verna","Temperate","Gentianaceae","Strict alpine",31.188,7.71839581517001,4.986,3.83,NA,NA,NA,NA,1191.611446,11.77409639,112.2409639
"15","Gypsophila repens","Temperate","Caryophyllaceae","Generalist",3.587,8.67214700193424,24.5,25.1533333333333,230.3,281.8,566,523.1,1351.382358,41.29560367,92.73622047
"16","Helianthemum canum","Temperate","Cistaceae","Generalist",5.21,3.91642084562439,28.5,33.575,279,NA,1245,NA,1249.728334,34.29973632,81.92635025
"17","Helianthemum urrielense","Temperate","Cistaceae","Strict alpine",3.449,3.21187868576243,33.8,NA,13.3,14.8,135.3,91,885.5083474,24.34729791,113.2134423
"18","Helictochloa marginata","Mediterranean","Poaceae","Generalist",9.171,7.74890638670166,138.1,NA,142.8,165.7,582.3,432.5,2092.966415,2.186950147,4.302052786
"19","Iberis carnosa","Temperate","Brassicaceae","Strict alpine",18.226,20.0991561181435,75.154,19.87,9.6,311.7,97.8,1005.9,880.7501677,83.19248826,116.0140845
"20","Jasione cavanillesii","Temperate","Campanulaceae","Strict alpine",34.198,9.12348178137652,5.603,22.68,226.3,272.3,491.5,474.3,668.6060268,22.05989583,77.90625
"21","Jurinea humilis","Mediterranean","Asteraceae","Generalist",8.253,6.53428786737001,268.462,37.44,9.7,246.5,141.3,445.5,2063.969951,10.18390805,15.96551724
"22","Kobresia myosuroides","Temperate","Cyperaceae","Strict alpine",6.124,9.12145748987854,41.3,NA,NA,NA,NA,NA,1241.518398,88.37121212,85.81818182
"23","Koeleria vallesiana","Temperate","Poaceae","Strict alpine",9.637,7.88888888888889,32.8,30.63,12.1,30,132,185.9,1146.15369,32.48618001,114.8263643
"24","Luzula caespitosa","Mediterranean","Juncaceae","Strict alpine",3.372,5.90946786454734,97.711,48.27,102.4,245.5,514.6,432.5,1593.713752,40.10741365,40.47262005
"25","Minuartia recurva","Mediterranean","Caryophyllaceae","Strict alpine",3.289,5.26236693800877,15.632,10.89,6,14,87.5,159.8,2045.066844,13.91718427,24.47204969
"26","Minuartia verna","Temperate","Caryophyllaceae","Strict alpine",5.144,5.57462195923734,24.9,33.24,NA,NA,NA,NA,1114.302883,50.77736928,77.57843137
