community;Taxon;family;T50_F;T50_S;T50_mean;EHS_F;EHS_S;EHS_mean
Temperate;Androsace villosa;Primulaceae;NA;NA;NA;NA;NA;NA
Temperate;Anthyllis vulneraria;Fabaceae;NA;NA;NA;NA;NA;NA
Temperate;Arenaria erinacea;Caryophyllaceae;NA;NA;NA;NA;NA;NA
Temperate;Arenaria moehringioides;Caryophyllaceae;272;294;283;1082.5;792;937.25
Temperate;Armeria cantabrica;Plumbaginaceae;238.2;278;258.1;654.2;596.8;625.5
Temperate;Carex sempervirens;Cyperaceae;244.9;282.9;263.9;694;548.3;621.15
Temperate;Dethawia splendens;Apiaceae;212.9;230.4;221.65;457.6;251.9;354.75
Temperate;Erigeron alpinus;Asteraceae;219.8;261.6;240.7;463.9;325.1;394.5
Temperate;Euphrasia salisburgensis;Orobanchaceae;NA;NA;NA;NA;NA;NA
Temperate;Festuca hystrix;Poaceae;15.1;122.8;68.95;144.8;178;161.4
Temperate;Festuca rubra;Poaceae;239.5;NA;239.5;648;NA;648
Temperate;Gentiana verna;Gentianaceae;NA;NA;NA;NA;NA;NA
Temperate;Gentianella campestris;Gentianaceae;NA;NA;NA;NA;NA;NA
Temperate;Gypsophila repens;Caryophyllaceae;230.3;281.8;256.05;566;523.1;544.55
Temperate;Helianthemum canum;Cistaceae;279;NA;279;1245;NA;1245
Temperate;Helianthemum urrielense;Cistaceae;13.3;14.8;14.05;135.3;91;113.15
Temperate;Helictotrichon sedenense;Poaceae;229.6;231.6;230.6;568.3;277;422.65
Temperate;Iberis carnosa;Brassicaceae;9.6;311.7;160.65;97.8;1005.9;551.85
Temperate;Jasione cavanillesii;Campanulaceae;226.3;272.3;249.3;491.5;474.3;482.9
Temperate;Jurinea humilis;Asteraceae;119.6;230.5;175.05;376.3;268.5;322.4
Temperate;Kobresia myosuroides;Cyperaceae;NA;NA;NA;NA;NA;NA
Temperate;Koeleria vallesiana;Poaceae;12.1;30;21.05;132;185.9;158.95
Temperate;Minuartia CF;Caryophyllaceae;227;NA;227;534;NA;534
Temperate;Minuartia verna;Caryophyllaceae;NA;NA;NA;NA;NA;NA
Temperate;Pedicularis pyrenaica;Orobanchaceae;203.7;249.5;226.6;378.3;334;356.15
Temperate;Phyteuma orbiculare;Campanulaceae;NA;NA;NA;NA;NA;NA
Temperate;Plantago alpina;Plantaginaceae;176;234.5;205.25;334.4;225.3;279.85
Temperate;Ranunculus carinthiacus;Ranunculaceae;NA;NA;NA;NA;NA;NA
Temperate;Salix breviserrata;Salicaceae;NA;NA;NA;NA;;NA
Temperate;Saxifraga conifera;Saxifragaceae;62.5;327.6;195.05;338.5;1284.7;811.6
Temperate;Saxifraga paniculata;Saxifragaceae;222;283.5;252.75;499.9;551.5;525.7
Temperate;Scilla verna;Asparagaceae;NA;NA;NA;NA;NA;NA
Temperate;Sedum album;Crassulaceae;NA;NA;NA;NA;NA;NA
Temperate;Sesleria caerula;Poaceae;25.1;195.4;110.25;267.8;304.6;286.2
Temperate;Silene acaulis;Caryophyllaceae;303.9;288;295.95;1601.5;692.5;1147
Temperate;Silene ciliata;Caryophyllaceae;210.9;255.8;233.35;404.3;296.9;350.6
Temperate;Thymus praecox;Lamiaceae;121.8;275;198.4;344.7;459.2;401.95
Mediterranean;Agrostis tileni;Poaceae;225.5;301.7;263.6;574.3;817.5;695.9
Mediterranean;Armeria duriaei;Plumbaginaceae;7.3;15.2;11.25;94.9;130.9;112.9
Mediterranean;Cerastium ramosissimum;Caryophyllaceae;48.8;48;48.4;800.3;755.6;777.95
Mediterranean;Conopodium majus;Apiaceae;207.6;239;223.3;534.7;354.3;444.5
Mediterranean;Dianthus langeanus;Caryophyllaceae;3.7;5.4;4.55;56;70.3;63.15
Mediterranean;Festuca summilusitana;Poaceae;18.4;23.1;20.75;219.6;182.3;200.95
Mediterranean;Helictochloa marginata;Poaceae;142.8;165.7;154.25;582.3;432.5;507.4
Mediterranean;Jurinea humilis;Asteraceae;9.7;246.5;128.1;141.3;445.5;293.4
Mediterranean;Luzula caespitosa;Juncaceae;102.4;245.5;173.95;514.6;432.5;473.55
Mediterranean;Minuartia recurva;Caryophyllaceae;6;14;10;87.5;159.8;123.65
Mediterranean;Neoschischkinia truncatula;Poaceae;6.8;8.8;7.8;83.4;75.8;79.6
Mediterranean;Phalacrocarpum oppositifolium;Asteraceae;40.3;82.1;61.2;451.7;278.6;365.15
Mediterranean;Phyteuma hemisphaericum;Campanulaceae;NA;284.5;284.5;NA;547;547
Mediterranean;Plantago holosteum;Plantaginaceae;8.1;8.4;8.25;100.1;71.4;85.75
Mediterranean;Sedum anglicum;Crassulaceae;83.7;166.2;124.95;293.3;515.2;404.25
Mediterranean;Sedum brevifolium;Crassulaceae;75;84.9;79.95;352.6;240.6;296.6
Mediterranean;Sempervivum arachnoideum;Crassulaceae;212.8;259.8;236.3;359.3;351;355.15
Mediterranean;Silene ciliata;Caryophyllaceae;198.9;240.8;219.85;268.4;184.4;226.4
Mediterranean;Solidago virgaurea;Asteraceae;14.9;235.3;125.1;174.4;305.6;240
Mediterranean;Spergula morisonii;Caryophyllaceae;167.8;36.2;102;1604.9;559.1;1082
Mediterranean;Thymus praecox;Lamiaceae;13.8;83.4;48.6;190.6;265.9;228.25
