Oil type abreviation,min,max,mean,sd,se,ci
C18.2n6c,9.67,74.4,42.40,16.70,2.39,4.80
C18.1n9c,6.59,67.76,22.60,13.40,1.91,3.85
C18.3n3,0.2,59.61,15.09,18.56,2.65,5.33
C16.0,3.81,35.73,10.80,5.51,0.79,1.58
C18.0,0.32,4.73,2.04,0.97,0.14,0.28
C22.1n9,0,49.89,1.66,8.20,1.17,2.36
C18.3n6,0,16.48,1.37,3.74,0.53,1.07
C18.1n7c,0.46,6.81,1.17,1.08,0.16,0.31
C20.1n9,0,9.78,0.83,1.70,0.24,0.49
C20.0,0.03,2.61,0.48,0.47,0.07,0.13
C22.0,0,1.06,0.29,0.25,0.04,0.07
C24.0,0,0.73,0.24,0.21,0.03,0.06
C16.1n7,0,1.72,0.20,0.30,0.04,0.09
C14.0,0,0.95,0.17,0.21,0.03,0.06
C20.4n6,0,3.9,0.14,0.71,0.10,0.20
C24.1n9,0,4.71,0.11,0.67,0.10,0.19
C20.3n6,0,3.68,0.09,0.53,0.08,0.15
C17.0,0,0.32,0.09,0.08,0.01,0.02
C20.2n6,0,0.54,0.08,0.12,0.02,0.03
C18.4n3,0,2.26,0.08,0.33,0.05,0.09
C12.0,0,0.55,0.03,0.11,0.02,0.03
C22.2n6,0,0.47,0.02,0.09,0.01,0.03
C23.0,0,0.44,0.01,0.06,0.01,0.02
C15.0,0,0.1,0.01,0.02,0.00,0.01
C20.3n3,0,0.05,0.00,0.01,0.00,0.00
C21.0,0,0.05,0.00,0.01,0.00,0.00
"Data from 49 seed lots, corresponding to 47 species",,,,,,
