Fatty acid,min,max,mean,se
C12:0,0,0.55,0.03,0.016
C14:0,0,0.95,0.171,0.03
C15:0,0,0.1,0.007,0.003
C16:0,3.81,35.73,10.799,0.787
C16:1n7,0,1.72,0.203,0.043
C17:0,0,0.32,0.085,0.012
C18:0,0.32,4.73,2.043,0.139
C18:1n7c,0.46,6.81,1.171,0.155
C18:1n9c,6.59,67.76,22.6,1.914
C18:2n6c,9.67,74.4,42.399,2.386
C18:3n3,0.2,59.61,15.094,2.651
C18:3n6,0,16.48,1.372,0.534
C18:4n3,0,2.26,0.075,0.047
C20:0,0.03,2.61,0.479,0.066
C20:1n9,0,9.78,0.834,0.243
C20:2n6,0,0.54,0.076,0.017
C20:3n3,0,0.05,0.003,0.002
C20:3n6,0,3.68,0.087,0.076
C20:4n6,0,3.9,0.144,0.102
C21:0,0,0.05,0.001,0.001
C22:0,0,1.06,0.286,0.035
C22:1n9,0,49.89,1.66,1.171
C22:2n6,0,0.47,0.019,0.013
C23:0,0,0.44,0.011,0.009
C24:0,0,0.73,0.24,0.03
C24:1n9,0,4.71,0.107,0.096
